procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 1  0         1700     16751816       332480     48420928    0    0   211  2524   21    9   1   0  96   2   0 2018-11-23 06:31:38
 1  0         1700     26014112       332492     39143544    0    0    23  6691 1845 2843   2   2  95   0   0 2018-11-23 06:31:41
 1  0         1700     50275676       332504     14883188    0    0     0    71 1537 2790   0   4  96   0   0 2018-11-23 06:31:44
 1  0         1700     64306704       332536       854432    0    0  1460   590 2078 3173   1   3  95   1   0 2018-11-23 06:31:47
 1  0         1700     64303600       332588       853008    0    0 15427    43 4762 5426   0   3  95   2   0 2018-11-23 06:31:50
 2  0         1700     64301524       332644       854008    0    0 18073    45 5515 6118   0   3  95   2   0 2018-11-23 06:31:53
 1  1         1700     64298908       333492       854984    0    0 18373    29 5680 6159   0   3  95   2   0 2018-11-23 06:31:56
 0  1         1700     64298168       333776       854484    0    0 14565    37 4753 5415   0   3  95   2   0 2018-11-23 06:31:59
 1  0         1700     64299608       332764       855256    0    0 15593    29 5051 5667   0   3  95   2   0 2018-11-23 06:32:02
 1  1         1700     64299408       332860       853876    0    0 17751    43 5537 6122   0   3  95   2   0 2018-11-23 06:32:05
 0  1         1700     64301156       333904       854988    0    0 18405    35 5462 6251   0   3  95   2   0 2018-11-23 06:32:08
 1  0         1700     64303588       332892       854204    0    0 18435    29 5632 6230   0   3  95   2   0 2018-11-23 06:32:11
 0  1         1700     64301328       333988       854412    0    0 18785    37 5756 6239   1   3  95   2   0 2018-11-23 06:32:14
 2  0         1700     64304712       334036       853524    0    0 18072    41 5580 6232   0   3  95   2   0 2018-11-23 06:32:17
 1  0         1700     64301176       334080       854268    0    0 18435    31 5621 6194   0   3  95   2   0 2018-11-23 06:32:20
 1  1         1700     64300056       334128       854700    0    0 18425    51 5504 6160   0   3  95   2   0 2018-11-23 06:32:23
 1  1         1700     64303312       333196       854204    0    0 18091    31 5549 6122   0   3  95   2   0 2018-11-23 06:32:26
 1  0         1700     64303044       333172       855104    0    0 18397    51 5636 6152   0   3  95   2   0 2018-11-23 06:32:29
 1  1         1700     64302804       333248       853392    0    0 18075    39 5559 6154   0   3  95   2   0 2018-11-23 06:32:32
 0  1         1700     64301780       334308       853792    0    0 18388    31 5601 6156   0   3  95   2   0 2018-11-23 06:32:35
 0  1         1700     64301152       334352       854588    0    0 18084    43 5428 6104   0   3  95   2   0 2018-11-23 06:32:38
 0  1         1700     64300688       334392       854992    0    0 18435    29 5614 6171   0   3  95   2   0 2018-11-23 06:32:41
 0  1         1700     64304348       334440       854788    0    0 18080    44 5502 6153   0   3  95   2   0 2018-11-23 06:32:44
 1  1         1700     64302904       334484       854280    0    0 18068    43 5476 6110   1   3  95   2   0 2018-11-23 06:32:47
 1  0         1700     64302620       334524       854016    0    0 18419    29 5641 6193   0   3  95   2   0 2018-11-23 06:32:50
 0  1         1700     64301432       334572       854744    0    0  9923    44 3486 4364   0   2  95   3   0 2018-11-23 06:32:53
 1  0         1700     64301908       333568       854512    0    0 17363    44 5356 5961   0   3  95   2   0 2018-11-23 06:32:56
