Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219422               78.213%           78.210%
8             W    30495                10.870%           10.870%
1016          W    24488                 8.729%            8.728%
3             W    619                   0.221%            0.221%
896           W    359                   0.128%            0.128%
32            W    352                   0.125%            0.125%
416           W    282                   0.101%            0.101%
408           W    257                   0.092%            0.092%
88            W    191                   0.068%            0.068%
48            W    190                   0.068%            0.068%
16            W    185                   0.066%            0.066%
984           W    184                   0.066%            0.066%
928           W    183                   0.065%            0.065%
112           W    178                   0.063%            0.063%
120           W    176                   0.063%            0.063%
968           W    174                   0.062%            0.062%
15            W    133                   0.047%            0.047%
17            W    126                   0.045%            0.045%
14            W    119                   0.042%            0.042%
20            W    112                   0.040%            0.040%
2             W    105                   0.037%            0.037%
824           W    98                    0.035%            0.035%
19            W    98                    0.035%            0.035%
192           W    97                    0.035%            0.035%
21            W    92                    0.033%            0.033%
18            W    92                    0.033%            0.033%
11            W    92                    0.033%            0.033%
6             W    91                    0.032%            0.032%
816           W    84                    0.030%            0.030%
13            W    83                    0.030%            0.030%
7             W    78                    0.028%            0.028%
200           W    78                    0.028%            0.028%
22            W    73                    0.026%            0.026%
23            W    62                    0.022%            0.022%
24            W    57                    0.020%            0.020%
12            W    56                    0.020%            0.020%
26            W    41                    0.015%            0.015%
64            W    39                    0.014%            0.014%
25            W    39                    0.014%            0.014%
1             W    31                    0.011%            0.011%
9             W    26                    0.009%            0.009%
10            W    26                    0.009%            0.009%
496           W    23                    0.008%            0.008%
31            W    22                    0.008%            0.008%
592           W    21                    0.007%            0.007%
480           W    20                    0.007%            0.007%
472           W    20                    0.007%            0.007%
464           W    20                    0.007%            0.007%
360           W    20                    0.007%            0.007%
488           W    19                    0.007%            0.007%
504           W    18                    0.006%            0.006%
27            W    18                    0.006%            0.006%
608           W    17                    0.006%            0.006%
512           W    17                    0.006%            0.006%
456           W    17                    0.006%            0.006%
552           W    16                    0.006%            0.006%
536           W    16                    0.006%            0.006%
28            W    16                    0.006%            0.006%
560           W    15                    0.005%            0.005%
368           W    14                    0.005%            0.005%
944           W    13                    0.005%            0.005%
5             W    13                    0.005%            0.005%
576           W    12                    0.004%            0.004%
56            W    12                    0.004%            0.004%
568           W    12                    0.004%            0.004%
528           W    12                    0.004%            0.004%
376           W    12                    0.004%            0.004%
880           W    11                    0.004%            0.004%
600           W    11                    0.004%            0.004%
432           W    11                    0.004%            0.004%
80            W    10                    0.004%            0.004%
72            W    10                    0.004%            0.004%
640           W    10                    0.004%            0.004%
544           W    10                    0.004%            0.004%
920           W    9                     0.003%            0.003%
800           W    9                     0.003%            0.003%
624           W    9                     0.003%            0.003%
584           W    9                     0.003%            0.003%
392           W    9                     0.003%            0.003%
33            W    9                     0.003%            0.003%
336           W    9                     0.003%            0.003%
1008          W    9                     0.003%            0.003%
656           W    8                     0.003%            0.003%
648           W    8                     0.003%            0.003%
520           W    8                     0.003%            0.003%
384           W    8                     0.003%            0.003%
352           W    8                     0.003%            0.003%
344           W    8                     0.003%            0.003%
30            W    8                     0.003%            0.003%
960           W    7                     0.002%            0.002%
440           W    7                     0.002%            0.002%
328           W    7                     0.002%            0.002%
992           W    6                     0.002%            0.002%
976           W    6                     0.002%            0.002%
952           W    6                     0.002%            0.002%
864           W    6                     0.002%            0.002%
784           W    6                     0.002%            0.002%
696           W    6                     0.002%            0.002%
632           W    6                     0.002%            0.002%
424           W    6                     0.002%            0.002%
96            W    5                     0.002%            0.002%
888           W    5                     0.002%            0.002%
872           W    5                     0.002%            0.002%
832           W    5                     0.002%            0.002%
792           W    5                     0.002%            0.002%
304           W    5                     0.002%            0.002%
8             R    4                    40.000%            0.001%
776           W    4                     0.001%            0.001%
40            W    4                     0.001%            0.001%
34            W    4                     0.001%            0.001%
29            W    4                     0.001%            0.001%
1             R    4                    40.000%            0.001%
1000          W    4                     0.001%            0.001%
936           W    3                     0.001%            0.001%
912           W    3                     0.001%            0.001%
680           W    3                     0.001%            0.001%
616           W    3                     0.001%            0.001%
448           W    3                     0.001%            0.001%
400           W    3                     0.001%            0.001%
320           W    3                     0.001%            0.001%
848           W    2                     0.001%            0.001%
808           W    2                     0.001%            0.001%
672           W    2                     0.001%            0.001%
36            W    2                     0.001%            0.001%
32            R    2                    20.000%            0.001%
256           W    2                     0.001%            0.001%
184           W    2                     0.001%            0.001%
904           W    1                     0.000%            0.000%
856           W    1                     0.000%            0.000%
840           W    1                     0.000%            0.000%
760           W    1                     0.000%            0.000%
744           W    1                     0.000%            0.000%
728           W    1                     0.000%            0.000%
704           W    1                     0.000%            0.000%
688           W    1                     0.000%            0.000%
664           W    1                     0.000%            0.000%
296           W    1                     0.000%            0.000%
280           W    1                     0.000%            0.000%
264           W    1                     0.000%            0.000%
168           W    1                     0.000%            0.000%
160           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 10             [  0.004%]
Total write I/Os: 280545         [ 99.996%]
Total read sectors : 100         [  0.000%,       0.049MB]
Total write sectors: 251546491   [100.000%,  122825.435MB]
