Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219016               78.052%           78.048%
8             W    30067                10.715%           10.715%
1016          W    24424                 8.704%            8.704%
3             W    653                   0.233%            0.233%
896           W    425                   0.151%            0.151%
32            W    411                   0.146%            0.146%
408           W    226                   0.081%            0.081%
48            W    220                   0.078%            0.078%
16            W    217                   0.077%            0.077%
416           W    215                   0.077%            0.077%
112           W    213                   0.076%            0.076%
984           W    212                   0.076%            0.076%
968           W    211                   0.075%            0.075%
928           W    211                   0.075%            0.075%
88            W    211                   0.075%            0.075%
120           W    211                   0.075%            0.075%
816           W    202                   0.072%            0.072%
200           W    200                   0.071%            0.071%
728           W    182                   0.065%            0.065%
752           W    169                   0.060%            0.060%
776           W    165                   0.059%            0.059%
616           W    164                   0.058%            0.058%
784           W    152                   0.054%            0.054%
17            W    137                   0.049%            0.049%
15            W    128                   0.046%            0.046%
18            W    127                   0.045%            0.045%
6             W    123                   0.044%            0.044%
19            W    120                   0.043%            0.043%
21            W    116                   0.041%            0.041%
2             W    111                   0.040%            0.040%
7             W    103                   0.037%            0.037%
22            W    93                    0.033%            0.033%
20            W    93                    0.033%            0.033%
23            W    83                    0.030%            0.030%
14            W    81                    0.029%            0.029%
12            W    80                    0.029%            0.029%
11            W    68                    0.024%            0.024%
9             W    65                    0.023%            0.023%
24            W    65                    0.023%            0.023%
13            W    65                    0.023%            0.023%
25            W    57                    0.020%            0.020%
64            W    52                    0.019%            0.019%
10            W    46                    0.016%            0.016%
1             W    37                    0.013%            0.013%
26            W    30                    0.011%            0.011%
5             W    27                    0.010%            0.010%
56            W    25                    0.009%            0.009%
72            W    23                    0.008%            0.008%
768           W    22                    0.008%            0.008%
824           W    18                    0.006%            0.006%
27            W    18                    0.006%            0.006%
28            W    12                    0.004%            0.004%
192           W    12                    0.004%            0.004%
792           W    11                    0.004%            0.004%
80            W    9                     0.003%            0.003%
856           W    8                     0.003%            0.003%
864           W    7                     0.002%            0.002%
8             R    6                    42.857%            0.002%
880           W    6                     0.002%            0.002%
760           W    6                     0.002%            0.002%
40            W    6                     0.002%            0.002%
29            W    6                     0.002%            0.002%
1             R    6                    42.857%            0.002%
96            W    5                     0.002%            0.002%
832           W    5                     0.002%            0.002%
744           W    5                     0.002%            0.002%
736           W    5                     0.002%            0.002%
600           W    5                     0.002%            0.002%
800           W    4                     0.001%            0.001%
664           W    4                     0.001%            0.001%
30            W    4                     0.001%            0.001%
944           W    3                     0.001%            0.001%
872           W    3                     0.001%            0.001%
840           W    3                     0.001%            0.001%
808           W    3                     0.001%            0.001%
704           W    3                     0.001%            0.001%
640           W    3                     0.001%            0.001%
440           W    3                     0.001%            0.001%
376           W    3                     0.001%            0.001%
1008          W    3                     0.001%            0.001%
848           W    2                     0.001%            0.001%
720           W    2                     0.001%            0.001%
712           W    2                     0.001%            0.001%
696           W    2                     0.001%            0.001%
672           W    2                     0.001%            0.001%
648           W    2                     0.001%            0.001%
632           W    2                     0.001%            0.001%
624           W    2                     0.001%            0.001%
608           W    2                     0.001%            0.001%
576           W    2                     0.001%            0.001%
544           W    2                     0.001%            0.001%
536           W    2                     0.001%            0.001%
4             W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
288           W    2                     0.001%            0.001%
128           W    2                     0.001%            0.001%
992           W    1                     0.000%            0.000%
976           W    1                     0.000%            0.000%
960           W    1                     0.000%            0.000%
952           W    1                     0.000%            0.000%
936           W    1                     0.000%            0.000%
912           W    1                     0.000%            0.000%
904           W    1                     0.000%            0.000%
888           W    1                     0.000%            0.000%
688           W    1                     0.000%            0.000%
656           W    1                     0.000%            0.000%
592           W    1                     0.000%            0.000%
584           W    1                     0.000%            0.000%
568           W    1                     0.000%            0.000%
560           W    1                     0.000%            0.000%
552           W    1                     0.000%            0.000%
504           W    1                     0.000%            0.000%
496           W    1                     0.000%            0.000%
488           W    1                     0.000%            0.000%
480           W    1                     0.000%            0.000%
472           W    1                     0.000%            0.000%
432           W    1                     0.000%            0.000%
392           W    1                     0.000%            0.000%
360           W    1                     0.000%            0.000%
35            W    1                     0.000%            0.000%
352           W    1                     0.000%            0.000%
344           W    1                     0.000%            0.000%
336           W    1                     0.000%            0.000%
328           W    1                     0.000%            0.000%
304           W    1                     0.000%            0.000%
296           W    1                     0.000%            0.000%
272           W    1                     0.000%            0.000%
208           W    1                     0.000%            0.000%
184           W    1                     0.000%            0.000%
168           W    1                     0.000%            0.000%
104           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.005%]
Total write I/Os: 280602         [ 99.995%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 251585246   [100.000%,  122844.358MB]
