procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 1  0       998396     26685424        38704     38391956    0    0   396  1879    0    0   1   0  91   8   0 2018-11-19 23:57:14
 1  0       998396     33675216        38856     31415196    0    0    65   110 2067 3533   4   3  93   0   0 2018-11-19 23:57:17
 0  1       998396     33657272        38904     31415220    0    0 10317  7749 4027 5097   1   1  95   3   0 2018-11-19 23:57:20
 0  1       998396     33658048        39980     31415384    0    0 14103    31 4479 5630   0   1  95   3   0 2018-11-19 23:57:23
 0  1       998396     33653844        40020     31414852    0    0 20443    45 6194 7267   0   2  95   3   0 2018-11-19 23:57:26
 0  1       998396     33655916        40348     31415108    0    0 12972   516 4687 6127   0   1  95   3   0 2018-11-19 23:57:29
 0  1       998396     33657644        39444     31415208    0    0 12389   273 4369 5619   0   1  95   3   0 2018-11-19 23:57:32
 2  0       998396     33656828        39464     31415352    0    0 10681    41 3619 4767   0   1  95   3   0 2018-11-19 23:57:35
 0  1       998396     33655704        40552     31415484    0    0 21205    28 6266 7453   1   2  94   3   0 2018-11-19 23:57:38
 0  1       998396     33656996        40604     31416504    0    0 20551    52 6165 7291   1   2  95   3   0 2018-11-19 23:57:41
 1  0       998396     33658476        39592     31415552    0    0 20404   103 6008 7296   0   2  95   3   0 2018-11-19 23:57:44
 2  0       998396     33657316        39660     31415644    0    0 20041    57 5943 7324   0   2  95   3   0 2018-11-19 23:57:47
 2  0       998396     33658764        39716     31416136    0    0 19685   133 5852 7507   0   2  95   3   0 2018-11-19 23:57:50
 0  1       998396     33657460        39760     31416140    0    0 20501    37 6149 7299   0   2  95   3   0 2018-11-19 23:57:53
 0  1       998396     33656576        40844     31415896    0    0 21171    37 6304 7419   1   2  94   3   0 2018-11-19 23:57:56
 2  0       998396     33657668        39836     31416020    0    0 20449    40 6070 7423   0   2  95   3   0 2018-11-19 23:57:59
 0  1       998396     33657080        41264     31416116    0    0 10592   591 4112 5578   0   1  96   3   0 2018-11-19 23:58:02
 2  0       998396     33657304        40336     31415804    0    0 17325   233 5554 6820   0   2  95   3   0 2018-11-19 23:58:05
