Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    213981               78.401%           76.829%
8             W    29375                10.763%           10.547%
1016          W    23429                 8.584%            8.412%
512           R    2526                 45.244%            0.907%
256           R    1057                 18.932%            0.380%
3             W    538                   0.197%            0.193%
896           W    340                   0.125%            0.122%
32            W    338                   0.124%            0.121%
416           W    267                   0.098%            0.096%
408           W    236                   0.086%            0.085%
88            W    194                   0.071%            0.070%
16            W    194                   0.071%            0.070%
968           W    188                   0.069%            0.068%
48            W    187                   0.069%            0.067%
984           W    186                   0.068%            0.067%
928           W    183                   0.067%            0.066%
120           W    181                   0.066%            0.065%
112           W    181                   0.066%            0.065%
824           W    124                   0.045%            0.045%
192           W    111                   0.041%            0.040%
19            W    99                    0.036%            0.036%
18            W    97                    0.036%            0.035%
17            W    96                    0.035%            0.034%
20            W    94                    0.034%            0.034%
24            W    93                    0.034%            0.033%
15            W    88                    0.032%            0.032%
32            R    87                    1.558%            0.031%
816           W    81                    0.030%            0.029%
6             W    76                    0.028%            0.027%
21            W    76                    0.028%            0.027%
200           W    71                    0.026%            0.025%
22            W    70                    0.026%            0.025%
14            W    69                    0.025%            0.025%
192           R    68                    1.218%            0.024%
13            W    66                    0.024%            0.024%
8             R    65                    1.164%            0.023%
23            W    65                    0.024%            0.023%
7             W    62                    0.023%            0.022%
2             W    62                    0.023%            0.022%
24            R    58                    1.039%            0.021%
248           R    56                    1.003%            0.020%
16            R    56                    1.003%            0.020%
25            W    53                    0.019%            0.019%
10            W    53                    0.019%            0.019%
9             W    48                    0.018%            0.017%
208           R    47                    0.842%            0.017%
200           R    47                    0.842%            0.017%
176           R    46                    0.824%            0.017%
216           R    44                    0.788%            0.016%
11            W    43                    0.016%            0.015%
56            R    42                    0.752%            0.015%
64            W    41                    0.015%            0.015%
632           W    41                    0.015%            0.015%
616           W    41                    0.015%            0.015%
240           R    41                    0.734%            0.015%
232           R    41                    0.734%            0.015%
64            R    40                    0.716%            0.014%
624           W    40                    0.015%            0.014%
448           R    39                    0.699%            0.014%
104           R    39                    0.699%            0.014%
48            R    38                    0.681%            0.014%
480           R    38                    0.681%            0.014%
328           R    38                    0.681%            0.014%
168           R    37                    0.663%            0.013%
904           W    36                    0.013%            0.013%
496           R    36                    0.645%            0.013%
296           R    36                    0.645%            0.013%
27            W    36                    0.013%            0.013%
160           R    36                    0.645%            0.013%
488           R    35                    0.627%            0.013%
304           R    35                    0.627%            0.013%
288           R    34                    0.609%            0.012%
184           R    34                    0.609%            0.012%
26            W    32                    0.012%            0.011%
224           R    32                    0.573%            0.011%
12            W    32                    0.012%            0.011%
80            R    31                    0.555%            0.011%
136           R    31                    0.555%            0.011%
88            R    30                    0.537%            0.011%
40            R    30                    0.537%            0.011%
320           R    30                    0.537%            0.011%
472           R    29                    0.519%            0.010%
336           R    29                    0.519%            0.010%
5             W    28                    0.010%            0.010%
96            R    27                    0.484%            0.010%
880           W    27                    0.010%            0.010%
400           R    27                    0.484%            0.010%
264           R    27                    0.484%            0.010%
592           W    26                    0.010%            0.009%
456           R    26                    0.466%            0.009%
344           R    26                    0.466%            0.009%
144           R    26                    0.466%            0.009%
304           W    25                    0.009%            0.009%
1             W    25                    0.009%            0.009%
152           R    25                    0.448%            0.009%
368           R    24                    0.430%            0.009%
312           R    24                    0.430%            0.009%
272           R    23                    0.412%            0.008%
280           R    22                    0.394%            0.008%
264           W    22                    0.008%            0.008%
112           R    22                    0.394%            0.008%
424           R    21                    0.376%            0.008%
416           R    21                    0.376%            0.008%
120           R    21                    0.376%            0.008%
608           W    20                    0.007%            0.007%
944           W    19                    0.007%            0.007%
72            W    19                    0.007%            0.007%
72            R    19                    0.340%            0.007%
712           W    19                    0.007%            0.007%
128           R    19                    0.340%            0.007%
440           R    18                    0.322%            0.006%
384           R    18                    0.322%            0.006%
696           W    17                    0.006%            0.006%
688           W    17                    0.006%            0.006%
576           W    17                    0.006%            0.006%
464           R    17                    0.304%            0.006%
360           R    17                    0.304%            0.006%
312           W    17                    0.006%            0.006%
840           W    16                    0.006%            0.006%
640           W    16                    0.006%            0.006%
408           R    16                    0.287%            0.006%
368           W    16                    0.006%            0.006%
288           W    16                    0.006%            0.006%
720           W    15                    0.005%            0.005%
536           W    15                    0.005%            0.005%
4             W    15                    0.005%            0.005%
352           R    15                    0.269%            0.005%
600           W    14                    0.005%            0.005%
552           W    14                    0.005%            0.005%
872           W    13                    0.005%            0.005%
