Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    1243452              54.614%           49.990%
16            R    458469               20.136%           18.432%
8             R    201485                8.849%            8.100%
1024          W    152965               72.631%            6.150%
40            R    59163                 2.598%            2.378%
32            R    44278                 1.945%            1.780%
56            R    42726                 1.877%            1.718%
72            R    31037                 1.363%            1.248%
8             W    30699                14.577%            1.234%
88            R    23830                 1.047%            0.958%
1016          W    22532                10.699%            0.906%
104           R    17904                 0.786%            0.720%
256           R    17742                 0.779%            0.713%
48            R    15381                 0.676%            0.618%
64            R    15298                 0.672%            0.615%
120           R    13891                 0.610%            0.558%
80            R    10107                 0.444%            0.406%
136           R    9966                  0.438%            0.401%
96            R    8229                  0.361%            0.331%
152           R    7455                  0.327%            0.300%
112           R    6885                  0.302%            0.277%
128           R    6769                  0.297%            0.272%
168           R    5712                  0.251%            0.230%
144           R    4486                  0.197%            0.180%
184           R    4377                  0.192%            0.176%
160           R    3503                  0.154%            0.141%
200           R    3300                  0.145%            0.133%
216           R    3108                  0.137%            0.125%
176           R    2977                  0.131%            0.120%
192           R    2759                  0.121%            0.111%
208           R    2104                  0.092%            0.085%
232           R    1891                  0.083%            0.076%
240           R    1884                  0.083%            0.076%
224           R    1811                  0.080%            0.073%
248           R    1449                  0.064%            0.058%
264           R    330                   0.014%            0.013%
512           R    310                   0.014%            0.012%
280           R    299                   0.013%            0.012%
408           W    282                   0.134%            0.011%
32            W    230                   0.109%            0.009%
416           W    228                   0.108%            0.009%
296           R    222                   0.010%            0.009%
272           R    221                   0.010%            0.009%
64            W    217                   0.103%            0.009%
312           R    191                   0.008%            0.008%
288           R    186                   0.008%            0.007%
16            W    160                   0.076%            0.006%
3             W    159                   0.075%            0.006%
328           R    149                   0.007%            0.006%
400           W    141                   0.067%            0.006%
304           R    140                   0.006%            0.006%
320           R    131                   0.006%            0.005%
22            W    126                   0.060%            0.005%
344           R    117                   0.005%            0.005%
336           R    114                   0.005%            0.005%
24            W    108                   0.051%            0.004%
23            W    107                   0.051%            0.004%
360           R    97                    0.004%            0.004%
21            W    95                    0.045%            0.004%
376           R    92                    0.004%            0.004%
352           R    91                    0.004%            0.004%
1             W    91                    0.043%            0.004%
19            W    84                    0.040%            0.003%
392           R    82                    0.004%            0.003%
20            W    82                    0.039%            0.003%
96            W    71                    0.034%            0.003%
384           R    71                    0.003%            0.003%
12            W    71                    0.034%            0.003%
368           R    70                    0.003%            0.003%
744           W    62                    0.029%            0.002%
26            W    62                    0.029%            0.002%
25            W    61                    0.029%            0.002%
896           W    56                    0.027%            0.002%
13            W    55                    0.026%            0.002%
120           W    54                    0.026%            0.002%
112           W    54                    0.026%            0.002%
424           W    53                    0.025%            0.002%
424           R    53                    0.002%            0.002%
408           R    53                    0.002%            0.002%
392           W    53                    0.025%            0.002%
904           W    50                    0.024%            0.002%
952           W    49                    0.023%            0.002%
11            W    49                    0.023%            0.002%
920           W    48                    0.023%            0.002%
888           W    47                    0.022%            0.002%
472           R    44                    0.002%            0.002%
432           R    44                    0.002%            0.002%
27            W    44                    0.021%            0.002%
18            W    44                    0.021%            0.002%
10            W    43                    0.020%            0.002%
440           R    42                    0.002%            0.002%
17            W    42                    0.020%            0.002%
400           R    41                    0.002%            0.002%
2             W    40                    0.019%            0.002%
456           R    34                    0.001%            0.001%
712           W    32                    0.015%            0.001%
40            W    32                    0.015%            0.001%
136           W    32                    0.015%            0.001%
736           W    31                    0.015%            0.001%
728           W    31                    0.015%            0.001%
416           R    31                    0.001%            0.001%
4             W    30                    0.014%            0.001%
128           W    30                    0.014%            0.001%
29            W    27                    0.013%            0.001%
448           R    26                    0.001%            0.001%
28            W    26                    0.012%            0.001%
14            W    26                    0.012%            0.001%
488           R    25                    0.001%            0.001%
31            W    25                    0.012%            0.001%
9             W    24                    0.011%            0.001%
56            W    23                    0.011%            0.001%
464           R    23                    0.001%            0.001%
720           W    22                    0.010%            0.001%
480           R    22                    0.001%            0.001%
30            W    22                    0.010%            0.001%
48            W    21                    0.010%            0.001%
7             W    19                    0.009%            0.001%
42            W    19                    0.009%            0.001%
88            W    18                    0.009%            0.001%
33            W    18                    0.009%            0.001%
72            W    16                    0.008%            0.001%
504           R    16                    0.001%            0.001%
41            W    16                    0.008%            0.001%
752           W    14                    0.007%            0.001%
80            W    13                    0.006%            0.001%
38            W    13                    0.006%            0.001%
34            W    13                    0.006%            0.001%
192           W    13                    0.006%            0.001%
784           W    11                    0.005%            0.000%
6             W    11                    0.005%            0.000%
5             W    11                    0.005%            0.000%
35            W    11                    0.005%            0.000%
688           W    10                    0.005%            0.000%
552           W    10                    0.005%            0.000%
536           W    10                    0.005%            0.000%
52            W    10                    0.005%            0.000%
51            W    10                    0.005%            0.000%
496           R    10                    0.000%            0.000%
46            W    10                    0.005%            0.000%
43            W    10                    0.005%            0.000%
160           W    10                    0.005%            0.000%
544           W    9                     0.004%            0.000%
49            W    9                     0.004%            0.000%
45            W    9                     0.004%            0.000%
39            W    9                     0.004%            0.000%
1             R    9                     0.000%            0.000%
15            W    9                     0.004%            0.000%
928           W    8                     0.004%            0.000%
768           W    8                     0.004%            0.000%
464           W    8                     0.004%            0.000%
44            W    8                     0.004%            0.000%
368           W    8                     0.004%            0.000%
264           W    8                     0.004%            0.000%
912           W    7                     0.003%            0.000%
824           W    7                     0.003%            0.000%
704           W    7                     0.003%            0.000%
520           W    7                     0.003%            0.000%
512           W    7                     0.003%            0.000%
50            W    7                     0.003%            0.000%
504           W    7                     0.003%            0.000%
432           W    7                     0.003%            0.000%
360           W    7                     0.003%            0.000%
288           W    7                     0.003%            0.000%
992           W    6                     0.003%            0.000%
968           W    6                     0.003%            0.000%
872           W    6                     0.003%            0.000%
864           W    6                     0.003%            0.000%
792           W    6                     0.003%            0.000%
600           W    6                     0.003%            0.000%
496           W    6                     0.003%            0.000%
440           W    6                     0.003%            0.000%
37            W    6                     0.003%            0.000%
36            W    6                     0.003%            0.000%
312           W    6                     0.003%            0.000%
240           W    6                     0.003%            0.000%
208           W    6                     0.003%            0.000%
1008          W    6                     0.003%            0.000%
984           W    5                     0.002%            0.000%
856           W    5                     0.002%            0.000%
848           W    5                     0.002%            0.000%
840           W    5                     0.002%            0.000%
680           W    5                     0.002%            0.000%
672           W    5                     0.002%            0.000%
640           W    5                     0.002%            0.000%
584           W    5                     0.002%            0.000%
448           W    5                     0.002%            0.000%
248           W    5                     0.002%            0.000%
216           W    5                     0.002%            0.000%
184           W    5                     0.002%            0.000%
936           W    4                     0.002%            0.000%
800           W    4                     0.002%            0.000%
696           W    4                     0.002%            0.000%
664           W    4                     0.002%            0.000%
648           W    4                     0.002%            0.000%
53            W    4                     0.002%            0.000%
528           W    4                     0.002%            0.000%
480           W    4                     0.002%            0.000%
47            W    4                     0.002%            0.000%
456           W    4                     0.002%            0.000%
304           W    4                     0.002%            0.000%
296           W    4                     0.002%            0.000%
272           W    4                     0.002%            0.000%
256           W    4                     0.002%            0.000%
232           W    4                     0.002%            0.000%
144           W    4                     0.002%            0.000%
104           W    4                     0.002%            0.000%
1000          W    4                     0.002%            0.000%
976           W    3                     0.001%            0.000%
944           W    3                     0.001%            0.000%
880           W    3                     0.001%            0.000%
816           W    3                     0.001%            0.000%
776           W    3                     0.001%            0.000%
624           W    3                     0.001%            0.000%
57            W    3                     0.001%            0.000%
576           W    3                     0.001%            0.000%
560           W    3                     0.001%            0.000%
376           W    3                     0.001%            0.000%
328           W    3                     0.001%            0.000%
280           W    3                     0.001%            0.000%
176           W    3                     0.001%            0.000%
152           W    3                     0.001%            0.000%
960           W    2                     0.001%            0.000%
832           W    2                     0.001%            0.000%
760           W    2                     0.001%            0.000%
656           W    2                     0.001%            0.000%
616           W    2                     0.001%            0.000%
59            W    2                     0.001%            0.000%
592           W    2                     0.001%            0.000%
58            W    2                     0.001%            0.000%
568           W    2                     0.001%            0.000%
55            W    2                     0.001%            0.000%
54            W    2                     0.001%            0.000%
352           W    2                     0.001%            0.000%
320           W    2                     0.001%            0.000%
224           W    2                     0.001%            0.000%
168           W    2                     0.001%            0.000%
808           W    1                     0.000%            0.000%
632           W    1                     0.000%            0.000%
62            W    1                     0.000%            0.000%
61            W    1                     0.000%            0.000%
60            W    1                     0.000%            0.000%
608           W    1                     0.000%            0.000%
488           W    1                     0.000%            0.000%
472           W    1                     0.000%            0.000%
384           W    1                     0.000%            0.000%
344           W    1                     0.000%            0.000%
336           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
