Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    78543                79.364%           79.350%
8             W    10272                10.379%           10.378%
1016          W    8479                  8.568%            8.566%
32            W    77                    0.078%            0.078%
896           W    73                    0.074%            0.074%
112           W    71                    0.072%            0.072%
48            W    70                    0.071%            0.071%
968           W    69                    0.070%            0.070%
984           W    68                    0.069%            0.069%
88            W    68                    0.069%            0.069%
928           W    66                    0.067%            0.067%
120           W    66                    0.067%            0.067%
904           W    58                    0.059%            0.059%
824           W    46                    0.046%            0.046%
416           W    45                    0.045%            0.045%
192           W    45                    0.045%            0.045%
408           W    41                    0.041%            0.041%
200           W    33                    0.033%            0.033%
816           W    29                    0.029%            0.029%
16            W    29                    0.029%            0.029%
3             W    25                    0.025%            0.025%
64            W    24                    0.024%            0.024%
24            W    23                    0.023%            0.023%
6             W    16                    0.016%            0.016%
9             W    15                    0.015%            0.015%
11            W    15                    0.015%            0.015%
26            W    14                    0.014%            0.014%
14            W    14                    0.014%            0.014%
5             W    13                    0.013%            0.013%
4             W    13                    0.013%            0.013%
21            W    13                    0.013%            0.013%
20            W    13                    0.013%            0.013%
1             W    13                    0.013%            0.013%
17            W    13                    0.013%            0.013%
12            W    13                    0.013%            0.013%
30            W    12                    0.012%            0.012%
27            W    12                    0.012%            0.012%
23            W    12                    0.012%            0.012%
7             W    11                    0.011%            0.011%
15            W    11                    0.011%            0.011%
13            W    11                    0.011%            0.011%
128           W    11                    0.011%            0.011%
10            W    11                    0.011%            0.011%
2             W    10                    0.010%            0.010%
28            W    10                    0.010%            0.010%
280           W    10                    0.010%            0.010%
272           W    10                    0.010%            0.010%
25            W    10                    0.010%            0.010%
18            W    10                    0.010%            0.010%
33            W    9                     0.009%            0.009%
19            W    9                     0.009%            0.009%
152           W    9                     0.009%            0.009%
96            W    8                     0.008%            0.008%
8             R    8                    44.444%            0.008%
864           W    8                     0.008%            0.008%
328           W    8                     0.008%            0.008%
31            W    8                     0.008%            0.008%
224           W    8                     0.008%            0.008%
1             R    8                    44.444%            0.008%
176           W    8                     0.008%            0.008%
888           W    7                     0.007%            0.007%
792           W    7                     0.007%            0.007%
768           W    7                     0.007%            0.007%
288           W    7                     0.007%            0.007%
992           W    6                     0.006%            0.006%
936           W    6                     0.006%            0.006%
920           W    6                     0.006%            0.006%
80            W    6                     0.006%            0.006%
720           W    6                     0.006%            0.006%
672           W    6                     0.006%            0.006%
336           W    6                     0.006%            0.006%
296           W    6                     0.006%            0.006%
264           W    6                     0.006%            0.006%
22            W    6                     0.006%            0.006%
840           W    5                     0.005%            0.005%
736           W    5                     0.005%            0.005%
320           W    5                     0.005%            0.005%
248           W    5                     0.005%            0.005%
168           W    5                     0.005%            0.005%
160           W    5                     0.005%            0.005%
784           W    4                     0.004%            0.004%
776           W    4                     0.004%            0.004%
760           W    4                     0.004%            0.004%
752           W    4                     0.004%            0.004%
40            W    4                     0.004%            0.004%
360           W    4                     0.004%            0.004%
352           W    4                     0.004%            0.004%
256           W    4                     0.004%            0.004%
240           W    4                     0.004%            0.004%
232           W    4                     0.004%            0.004%
144           W    4                     0.004%            0.004%
136           W    4                     0.004%            0.004%
104           W    4                     0.004%            0.004%
976           W    3                     0.003%            0.003%
688           W    3                     0.003%            0.003%
56            W    3                     0.003%            0.003%
536           W    3                     0.003%            0.003%
400           W    3                     0.003%            0.003%
392           W    3                     0.003%            0.003%
344           W    3                     0.003%            0.003%
184           W    3                     0.003%            0.003%
960           W    2                     0.002%            0.002%
880           W    2                     0.002%            0.002%
800           W    2                     0.002%            0.002%
744           W    2                     0.002%            0.002%
712           W    2                     0.002%            0.002%
680           W    2                     0.002%            0.002%
656           W    2                     0.002%            0.002%
640           W    2                     0.002%            0.002%
624           W    2                     0.002%            0.002%
520           W    2                     0.002%            0.002%
464           W    2                     0.002%            0.002%
432           W    2                     0.002%            0.002%
37            W    2                     0.002%            0.002%
36            W    2                     0.002%            0.002%
368           W    2                     0.002%            0.002%
32            R    2                    11.111%            0.002%
29            W    2                     0.002%            0.002%
216           W    2                     0.002%            0.002%
912           W    1                     0.001%            0.001%
872           W    1                     0.001%            0.001%
856           W    1                     0.001%            0.001%
72            W    1                     0.001%            0.001%
728           W    1                     0.001%            0.001%
704           W    1                     0.001%            0.001%
648           W    1                     0.001%            0.001%
608           W    1                     0.001%            0.001%
600           W    1                     0.001%            0.001%
592           W    1                     0.001%            0.001%
552           W    1                     0.001%            0.001%
52            W    1                     0.001%            0.001%
504           W    1                     0.001%            0.001%
47            W    1                     0.001%            0.001%
456           W    1                     0.001%            0.001%
424           W    1                     0.001%            0.001%
38            W    1                     0.001%            0.001%
384           W    1                     0.001%            0.001%
376           W    1                     0.001%            0.001%
35            W    1                     0.001%            0.001%
34            W    1                     0.001%            0.001%
312           W    1                     0.001%            0.001%
304           W    1                     0.001%            0.001%
208           W    1                     0.001%            0.001%
1008          W    1                     0.001%            0.001%
1000          W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 18             [  0.018%]
Total write I/Os: 98965          [ 99.982%]
Total read sectors : 136         [  0.000%,       0.066MB]
Total write sectors: 89730258    [100.000%,   43813.603MB]
