Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    72252                80.001%           79.988%
8             W    9026                  9.994%            9.992%
1016          W    7367                  8.157%            8.156%
32            W    80                    0.089%            0.089%
88            W    71                    0.079%            0.079%
984           W    69                    0.076%            0.076%
120           W    69                    0.076%            0.076%
48            W    68                    0.075%            0.075%
968           W    67                    0.074%            0.074%
112           W    67                    0.074%            0.074%
896           W    66                    0.073%            0.073%
928           W    64                    0.071%            0.071%
904           W    63                    0.070%            0.070%
408           W    63                    0.070%            0.070%
416           W    55                    0.061%            0.061%
3             W    36                    0.040%            0.040%
816           W    35                    0.039%            0.039%
16            W    34                    0.038%            0.038%
200           W    33                    0.037%            0.037%
64            W    32                    0.035%            0.035%
192           W    32                    0.035%            0.035%
824           W    29                    0.032%            0.032%
5             W    29                    0.032%            0.032%
24            W    28                    0.031%            0.031%
6             W    20                    0.022%            0.022%
2             W    19                    0.021%            0.021%
1             W    19                    0.021%            0.021%
12            W    17                    0.019%            0.019%
4             W    16                    0.018%            0.018%
27            W    15                    0.017%            0.017%
25            W    15                    0.017%            0.017%
9             W    14                    0.016%            0.015%
22            W    14                    0.016%            0.015%
11            W    14                    0.016%            0.015%
30            W    13                    0.014%            0.014%
17            W    13                    0.014%            0.014%
15            W    13                    0.014%            0.014%
20            W    12                    0.013%            0.013%
13            W    12                    0.013%            0.013%
10            W    12                    0.013%            0.013%
29            W    11                    0.012%            0.012%
23            W    11                    0.012%            0.012%
21            W    11                    0.012%            0.012%
19            W    10                    0.011%            0.011%
7             W    9                     0.010%            0.010%
31            W    9                     0.010%            0.010%
28            W    9                     0.010%            0.010%
26            W    9                     0.010%            0.010%
18            W    9                     0.010%            0.010%
14            W    9                     0.010%            0.010%
34            W    7                     0.008%            0.008%
208           W    7                     0.008%            0.008%
96            W    6                     0.007%            0.007%
8             R    6                    42.857%            0.007%
872           W    6                     0.007%            0.007%
72            W    6                     0.007%            0.007%
56            W    6                     0.007%            0.007%
1             R    6                    42.857%            0.007%
176           W    6                     0.007%            0.007%
152           W    6                     0.007%            0.007%
768           W    5                     0.006%            0.006%
688           W    5                     0.006%            0.006%
976           W    4                     0.004%            0.004%
888           W    4                     0.004%            0.004%
832           W    4                     0.004%            0.004%
80            W    4                     0.004%            0.004%
776           W    4                     0.004%            0.004%
760           W    4                     0.004%            0.004%
616           W    4                     0.004%            0.004%
33            W    4                     0.004%            0.004%
328           W    4                     0.004%            0.004%
136           W    4                     0.004%            0.004%
936           W    3                     0.003%            0.003%
600           W    3                     0.003%            0.003%
480           W    3                     0.003%            0.003%
464           W    3                     0.003%            0.003%
456           W    3                     0.003%            0.003%
432           W    3                     0.003%            0.003%
424           W    3                     0.003%            0.003%
384           W    3                     0.003%            0.003%
336           W    3                     0.003%            0.003%
296           W    3                     0.003%            0.003%
288           W    3                     0.003%            0.003%
224           W    3                     0.003%            0.003%
184           W    3                     0.003%            0.003%
144           W    3                     0.003%            0.003%
128           W    3                     0.003%            0.003%
960           W    2                     0.002%            0.002%
944           W    2                     0.002%            0.002%
912           W    2                     0.002%            0.002%
864           W    2                     0.002%            0.002%
848           W    2                     0.002%            0.002%
840           W    2                     0.002%            0.002%
792           W    2                     0.002%            0.002%
752           W    2                     0.002%            0.002%
736           W    2                     0.002%            0.002%
728           W    2                     0.002%            0.002%
720           W    2                     0.002%            0.002%
712           W    2                     0.002%            0.002%
672           W    2                     0.002%            0.002%
664           W    2                     0.002%            0.002%
648           W    2                     0.002%            0.002%
544           W    2                     0.002%            0.002%
528           W    2                     0.002%            0.002%
512           W    2                     0.002%            0.002%
496           W    2                     0.002%            0.002%
488           W    2                     0.002%            0.002%
472           W    2                     0.002%            0.002%
40            W    2                     0.002%            0.002%
400           W    2                     0.002%            0.002%
392           W    2                     0.002%            0.002%
38            W    2                     0.002%            0.002%
37            W    2                     0.002%            0.002%
36            W    2                     0.002%            0.002%
368           W    2                     0.002%            0.002%
35            W    2                     0.002%            0.002%
352           W    2                     0.002%            0.002%
32            R    2                    14.286%            0.002%
304           W    2                     0.002%            0.002%
272           W    2                     0.002%            0.002%
232           W    2                     0.002%            0.002%
104           W    2                     0.002%            0.002%
992           W    1                     0.001%            0.001%
952           W    1                     0.001%            0.001%
920           W    1                     0.001%            0.001%
880           W    1                     0.001%            0.001%
856           W    1                     0.001%            0.001%
808           W    1                     0.001%            0.001%
800           W    1                     0.001%            0.001%
744           W    1                     0.001%            0.001%
704           W    1                     0.001%            0.001%
696           W    1                     0.001%            0.001%
680           W    1                     0.001%            0.001%
656           W    1                     0.001%            0.001%
640           W    1                     0.001%            0.001%
624           W    1                     0.001%            0.001%
608           W    1                     0.001%            0.001%
584           W    1                     0.001%            0.001%
576           W    1                     0.001%            0.001%
552           W    1                     0.001%            0.001%
504           W    1                     0.001%            0.001%
448           W    1                     0.001%            0.001%
440           W    1                     0.001%            0.001%
42            W    1                     0.001%            0.001%
39            W    1                     0.001%            0.001%
376           W    1                     0.001%            0.001%
360           W    1                     0.001%            0.001%
320           W    1                     0.001%            0.001%
312           W    1                     0.001%            0.001%
264           W    1                     0.001%            0.001%
216           W    1                     0.001%            0.001%
160           W    1                     0.001%            0.001%
1008          W    1                     0.001%            0.001%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.015%]
Total write I/Os: 90314          [ 99.985%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 82110952    [100.000%,   40093.238MB]
