Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219510               78.097%           78.095%
8             W    30736                10.935%           10.935%
1016          W    24066                 8.562%            8.562%
3             W    638                   0.227%            0.227%
896           W    420                   0.149%            0.149%
32            W    376                   0.134%            0.134%
416           W    219                   0.078%            0.078%
408           W    218                   0.078%            0.078%
984           W    213                   0.076%            0.076%
968           W    213                   0.076%            0.076%
120           W    212                   0.075%            0.075%
112           W    212                   0.075%            0.075%
88            W    211                   0.075%            0.075%
928           W    210                   0.075%            0.075%
48            W    210                   0.075%            0.075%
824           W    198                   0.070%            0.070%
192           W    192                   0.068%            0.068%
16            W    174                   0.062%            0.062%
600           W    168                   0.060%            0.060%
464           W    166                   0.059%            0.059%
19            W    123                   0.044%            0.044%
20            W    122                   0.043%            0.043%
6             W    113                   0.040%            0.040%
24            W    113                   0.040%            0.040%
23            W    113                   0.040%            0.040%
776           W    111                   0.039%            0.039%
15            W    109                   0.039%            0.039%
17            W    105                   0.037%            0.037%
21            W    104                   0.037%            0.037%
22            W    100                   0.036%            0.036%
18            W    99                    0.035%            0.035%
7             W    96                    0.034%            0.034%
784           W    86                    0.031%            0.031%
26            W    77                    0.027%            0.027%
2             W    76                    0.027%            0.027%
9             W    72                    0.026%            0.026%
12            W    72                    0.026%            0.026%
768           W    71                    0.025%            0.025%
14            W    57                    0.020%            0.020%
10            W    55                    0.020%            0.020%
64            W    50                    0.018%            0.018%
760           W    49                    0.017%            0.017%
13            W    44                    0.016%            0.016%
25            W    40                    0.014%            0.014%
752           W    35                    0.012%            0.012%
80            W    30                    0.011%            0.011%
29            W    30                    0.011%            0.011%
27            W    29                    0.010%            0.010%
28            W    28                    0.010%            0.010%
1             W    28                    0.010%            0.010%
5             W    25                    0.009%            0.009%
816           W    23                    0.008%            0.008%
200           W    19                    0.007%            0.007%
11            W    18                    0.006%            0.006%
728           W    14                    0.005%            0.005%
744           W    12                    0.004%            0.004%
608           W    9                     0.003%            0.003%
30            W    9                     0.003%            0.003%
832           W    8                     0.003%            0.003%
72            W    7                     0.002%            0.002%
40            W    7                     0.002%            0.002%
592           W    6                     0.002%            0.002%
96            W    5                     0.002%            0.002%
792           W    5                     0.002%            0.002%
8             R    4                    40.000%            0.001%
736           W    4                     0.001%            0.001%
56            W    4                     0.001%            0.001%
520           W    4                     0.001%            0.001%
472           W    4                     0.001%            0.001%
31            W    4                     0.001%            0.001%
1             R    4                    40.000%            0.001%
856           W    3                     0.001%            0.001%
848           W    3                     0.001%            0.001%
808           W    3                     0.001%            0.001%
688           W    3                     0.001%            0.001%
656           W    3                     0.001%            0.001%
560           W    3                     0.001%            0.001%
456           W    3                     0.001%            0.001%
400           W    3                     0.001%            0.001%
104           W    3                     0.001%            0.001%
888           W    2                     0.001%            0.001%
872           W    2                     0.001%            0.001%
840           W    2                     0.001%            0.001%
696           W    2                     0.001%            0.001%
632           W    2                     0.001%            0.001%
624           W    2                     0.001%            0.001%
616           W    2                     0.001%            0.001%
584           W    2                     0.001%            0.001%
528           W    2                     0.001%            0.001%
504           W    2                     0.001%            0.001%
424           W    2                     0.001%            0.001%
360           W    2                     0.001%            0.001%
32            R    2                    20.000%            0.001%
224           W    2                     0.001%            0.001%
168           W    2                     0.001%            0.001%
160           W    2                     0.001%            0.001%
992           W    1                     0.000%            0.000%
976           W    1                     0.000%            0.000%
960           W    1                     0.000%            0.000%
936           W    1                     0.000%            0.000%
912           W    1                     0.000%            0.000%
880           W    1                     0.000%            0.000%
864           W    1                     0.000%            0.000%
800           W    1                     0.000%            0.000%
720           W    1                     0.000%            0.000%
712           W    1                     0.000%            0.000%
672           W    1                     0.000%            0.000%
648           W    1                     0.000%            0.000%
640           W    1                     0.000%            0.000%
576           W    1                     0.000%            0.000%
552           W    1                     0.000%            0.000%
512           W    1                     0.000%            0.000%
4             W    1                     0.000%            0.000%
432           W    1                     0.000%            0.000%
392           W    1                     0.000%            0.000%
384           W    1                     0.000%            0.000%
352           W    1                     0.000%            0.000%
34            W    1                     0.000%            0.000%
296           W    1                     0.000%            0.000%
280           W    1                     0.000%            0.000%
240           W    1                     0.000%            0.000%
176           W    1                     0.000%            0.000%
152           W    1                     0.000%            0.000%
144           W    1                     0.000%            0.000%
128           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 10             [  0.004%]
Total write I/Os: 281072         [ 99.996%]
Total read sectors : 100         [  0.000%,       0.049MB]
Total write sectors: 251540112   [100.000%,  122822.320MB]
