Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219490               78.087%           78.083%
8             W    30534                10.863%           10.862%
1016          W    24239                 8.623%            8.623%
3             W    621                   0.221%            0.221%
896           W    408                   0.145%            0.145%
32            W    405                   0.144%            0.144%
416           W    256                   0.091%            0.091%
408           W    243                   0.086%            0.086%
16            W    218                   0.078%            0.078%
48            W    214                   0.076%            0.076%
984           W    213                   0.076%            0.076%
88            W    207                   0.074%            0.074%
968           W    206                   0.073%            0.073%
928           W    205                   0.073%            0.073%
112           W    204                   0.073%            0.073%
120           W    202                   0.072%            0.072%
15            W    141                   0.050%            0.050%
17            W    136                   0.048%            0.048%
192           W    129                   0.046%            0.046%
824           W    128                   0.046%            0.046%
22            W    111                   0.039%            0.039%
6             W    110                   0.039%            0.039%
19            W    108                   0.038%            0.038%
20            W    107                   0.038%            0.038%
14            W    105                   0.037%            0.037%
2             W    102                   0.036%            0.036%
21            W    101                   0.036%            0.036%
10            W    100                   0.036%            0.036%
18            W    95                    0.034%            0.034%
13            W    86                    0.031%            0.031%
24            W    82                    0.029%            0.029%
23            W    82                    0.029%            0.029%
816           W    78                    0.028%            0.028%
7             W    78                    0.028%            0.028%
200           W    78                    0.028%            0.028%
728           W    59                    0.021%            0.021%
25            W    47                    0.017%            0.017%
64            W    46                    0.016%            0.016%
12            W    46                    0.016%            0.016%
11            W    44                    0.016%            0.016%
9             W    41                    0.015%            0.015%
1             W    40                    0.014%            0.014%
744           W    28                    0.010%            0.010%
26            W    28                    0.010%            0.010%
5             W    26                    0.009%            0.009%
712           W    24                    0.009%            0.009%
696           W    23                    0.008%            0.008%
28            W    23                    0.008%            0.008%
72            W    22                    0.008%            0.008%
720           W    21                    0.007%            0.007%
29            W    20                    0.007%            0.007%
80            W    19                    0.007%            0.007%
704           W    19                    0.007%            0.007%
56            W    19                    0.007%            0.007%
27            W    19                    0.007%            0.007%
760           W    17                    0.006%            0.006%
736           W    17                    0.006%            0.006%
672           W    17                    0.006%            0.006%
776           W    16                    0.006%            0.006%
648           W    16                    0.006%            0.006%
640           W    16                    0.006%            0.006%
600           W    16                    0.006%            0.006%
768           W    15                    0.005%            0.005%
656           W    15                    0.005%            0.005%
464           W    15                    0.005%            0.005%
784           W    14                    0.005%            0.005%
752           W    14                    0.005%            0.005%
680           W    14                    0.005%            0.005%
792           W    13                    0.005%            0.005%
616           W    13                    0.005%            0.005%
592           W    13                    0.005%            0.005%
544           W    13                    0.005%            0.005%
608           W    12                    0.004%            0.004%
528           W    12                    0.004%            0.004%
40            W    12                    0.004%            0.004%
840           W    11                    0.004%            0.004%
800           W    11                    0.004%            0.004%
520           W    11                    0.004%            0.004%
584           W    10                    0.004%            0.004%
432           W    10                    0.004%            0.004%
632           W    9                     0.003%            0.003%
624           W    9                     0.003%            0.003%
456           W    9                     0.003%            0.003%
96            W    8                     0.003%            0.003%
688           W    8                     0.003%            0.003%
496           W    8                     0.003%            0.003%
440           W    8                     0.003%            0.003%
384           W    8                     0.003%            0.003%
976           W    7                     0.002%            0.002%
888           W    7                     0.002%            0.002%
664           W    7                     0.002%            0.002%
576           W    7                     0.002%            0.002%
536           W    7                     0.002%            0.002%
480           W    7                     0.002%            0.002%
448           W    7                     0.002%            0.002%
400           W    7                     0.002%            0.002%
392           W    7                     0.002%            0.002%
304           W    7                     0.002%            0.002%
904           W    6                     0.002%            0.002%
8             R    6                    42.857%            0.002%
872           W    6                     0.002%            0.002%
832           W    6                     0.002%            0.002%
560           W    6                     0.002%            0.002%
504           W    6                     0.002%            0.002%
424           W    6                     0.002%            0.002%
1             R    6                    42.857%            0.002%
992           W    5                     0.002%            0.002%
880           W    5                     0.002%            0.002%
864           W    5                     0.002%            0.002%
568           W    5                     0.002%            0.002%
552           W    5                     0.002%            0.002%
368           W    5                     0.002%            0.002%
320           W    5                     0.002%            0.002%
128           W    5                     0.002%            0.002%
104           W    5                     0.002%            0.002%
960           W    4                     0.001%            0.001%
848           W    4                     0.001%            0.001%
512           W    4                     0.001%            0.001%
488           W    4                     0.001%            0.001%
472           W    4                     0.001%            0.001%
296           W    4                     0.001%            0.001%
1008          W    4                     0.001%            0.001%
808           W    3                     0.001%            0.001%
376           W    3                     0.001%            0.001%
360           W    3                     0.001%            0.001%
328           W    3                     0.001%            0.001%
312           W    3                     0.001%            0.001%
30            W    3                     0.001%            0.001%
216           W    3                     0.001%            0.001%
208           W    3                     0.001%            0.001%
152           W    3                     0.001%            0.001%
936           W    2                     0.001%            0.001%
920           W    2                     0.001%            0.001%
912           W    2                     0.001%            0.001%
856           W    2                     0.001%            0.001%
4             W    2                     0.001%            0.001%
344           W    2                     0.001%            0.001%
32            R    2                    14.286%            0.001%
288           W    2                     0.001%            0.001%
184           W    2                     0.001%            0.001%
168           W    2                     0.001%            0.001%
1000          W    2                     0.001%            0.001%
952           W    1                     0.000%            0.000%
944           W    1                     0.000%            0.000%
352           W    1                     0.000%            0.000%
34            W    1                     0.000%            0.000%
33            W    1                     0.000%            0.000%
280           W    1                     0.000%            0.000%
256           W    1                     0.000%            0.000%
240           W    1                     0.000%            0.000%
232           W    1                     0.000%            0.000%
224           W    1                     0.000%            0.000%
176           W    1                     0.000%            0.000%
144           W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 14             [  0.005%]
Total write I/Os: 281084         [ 99.995%]
Total read sectors : 118         [  0.000%,       0.058MB]
Total write sectors: 251646195   [100.000%,  122874.119MB]
