Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
1024          W    219401               78.179%           76.997%
8             W    30558                10.889%           10.724%
1016          W    24373                 8.685%            8.554%
256           R    3233                 75.081%            1.135%
3             W    631                   0.225%            0.221%
32            W    376                   0.134%            0.132%
896           W    349                   0.124%            0.122%
416           W    296                   0.105%            0.104%
408           W    224                   0.080%            0.079%
192           W    205                   0.073%            0.072%
48            W    196                   0.070%            0.069%
968           W    179                   0.064%            0.063%
984           W    178                   0.063%            0.062%
16            W    177                   0.063%            0.062%
120           W    177                   0.063%            0.062%
928           W    174                   0.062%            0.061%
88            W    174                   0.062%            0.061%
112           W    174                   0.062%            0.061%
608           W    166                   0.059%            0.058%
824           W    134                   0.048%            0.047%
816           W    129                   0.046%            0.045%
17            W    120                   0.043%            0.042%
2             W    116                   0.041%            0.041%
15            W    114                   0.041%            0.040%
19            W    105                   0.037%            0.037%
14            W    102                   0.036%            0.036%
6             W    100                   0.036%            0.035%
144           W    100                   0.036%            0.035%
21            W    95                    0.034%            0.033%
13            W    83                    0.030%            0.029%
18            W    82                    0.029%            0.029%
12            W    81                    0.029%            0.028%
23            W    78                    0.028%            0.027%
22            W    76                    0.027%            0.027%
7             W    75                    0.027%            0.026%
20            W    75                    0.027%            0.026%
11            W    67                    0.024%            0.024%
24            W    64                    0.023%            0.022%
16            R    59                    1.370%            0.021%
240           R    58                    1.347%            0.020%
10            W    55                    0.020%            0.019%
8             R    54                    1.254%            0.019%
64            W    54                    0.019%            0.019%
32            R    50                    1.161%            0.018%
232           R    50                    1.161%            0.018%
600           W    49                    0.017%            0.017%
25            W    48                    0.017%            0.017%
200           W    48                    0.017%            0.017%
9             W    47                    0.017%            0.016%
64            R    43                    0.999%            0.015%
40            R    38                    0.882%            0.013%
248           R    37                    0.859%            0.013%
208           R    37                    0.859%            0.013%
48            R    36                    0.836%            0.013%
224           R    36                    0.836%            0.013%
192           R    36                    0.836%            0.013%
24            R    35                    0.813%            0.012%
1             W    34                    0.012%            0.012%
512           R    33                    0.766%            0.012%
200           R    33                    0.766%            0.012%
80            R    32                    0.743%            0.011%
576           W    32                    0.011%            0.011%
56            R    30                    0.697%            0.011%
27            W    30                    0.011%            0.011%
216           R    30                    0.697%            0.011%
