procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PST
 2  0       998396       440536        47572     64602208    0    0   384  1927    0    0   1   0  91   8   0 2018-11-24 06:03:34
 2  0       998396      5803192        47724     59228176    0    0   412   362 1936 2883   3   2  93   1   0 2018-11-24 06:03:37
 1  1       998396     18283064        47748     46750708    0    0     4  4609 1881 3098   1   3  95   1   0 2018-11-24 06:03:40
 0  1       998396     18280768        47888     46749648    0    0 13695   136 4371 5927   0   1  95   3   0 2018-11-24 06:03:43
 0  1       998396     18280600        49280     46751132    0    0  8177   683 3487 5009   0   1  96   3   0 2018-11-24 06:03:46
 0  1       998396     18279292        49352     46750880    0    0 20204   128 5793 7033   1   2  95   3   0 2018-11-24 06:03:49
 1  0       998396     18277020        48348     46751392    0    0 21555    40 6409 7450   1   2  95   3   0 2018-11-24 06:03:52
 1  1       998396     18275788        49316     46751880    0    0 21475   107 6359 7494   0   2  95   3   0 2018-11-24 06:03:55
 0  1       998396     18275520        48472     46750832    0    0  9996    45 3684 4834   0   1  95   3   0 2018-11-24 06:03:58
 1  0       998396     18275856        48508     46752892    0    0 15960    48 5054 6053   0   2  95   3   0 2018-11-24 06:04:01
 0  1       998396     18277104        48560     46750808    0    0 21931    48 6043 7238   0   2  95   3   0 2018-11-24 06:04:04
 0  0       998396     18274496        49656     46751012    0    0 22692    43 6311 7421   0   2  95   3   0 2018-11-24 06:04:07
 1  1       998396     18276976        48656     46753064    0    0 22105    41 6273 7407   0   2  94   3   0 2018-11-24 06:04:10
 1  1       998396     18275988        48740     46753284    0    0 21132   151 5956 7553   0   2  95   3   0 2018-11-24 06:04:13
 0  1       998396     18276368        48788     46751352    0    0 22561    31 6325 7420   1   2  94   3   0 2018-11-24 06:04:16
 0  0       998396     18277148        50264     46751256    0    0  9259   757 3944 5445   0   1  96   3   0 2018-11-24 06:04:19
 0  1       998396     18275796        50308     46751016    0    0 22145    56 6084 7248   1   2  95   3   0 2018-11-24 06:04:22
 1  0       998396     18278640        49300     46751320    0    0 22417   104 6228 7312   1   2  95   3   0 2018-11-24 06:04:25
 1  0       998396     18277768        49356     46751152    0    0 22768    57 6377 7423   1   2  95   3   0 2018-11-24 06:04:28
 0  1       998396     18275492        49404     46751260    0    0 22565    31 6470 7420   1   2  94   3   0 2018-11-24 06:04:31
 1  0       998396     18278052        49452     46751296    0    0 21803    53 6081 7248   0   2  95   3   0 2018-11-24 06:04:34
 1  0       998396     18275424        49500     46751812    0    0 22144    40 6250 7349   1   2  94   3   0 2018-11-24 06:04:37
 0  1       998396     18276756        50592     46751296    0    0 22685    39 6386 7449   0   2  95   3   0 2018-11-24 06:04:40
 0  1       998396     18275848        49588     46751088    0    0 21421    51 6206 7518   0   2  95   3   0 2018-11-24 06:04:43
 0  1       998396     18276748        49632     46751420    0    0 22441   113 6318 7594   1   2  94   3   0 2018-11-24 06:04:46
 0  0       998396     18275748        50732     46751776    0    0 22236    48 6250 7306   0   2  95   3   0 2018-11-24 06:04:49
 1  1       998396     18274508        50916     46751512    0    0  8547   769 3733 5153   0   1  96   3   0 2018-11-24 06:04:52
 0  2       998396     18275336        51048     46751912    0    0 22029    96 6233 7345   1   2  95   3   0 2018-11-24 06:04:55
 0  1       998396     18275204        51256     46751140    0    0 21693    53 6285 7517   1   2  94   3   0 2018-11-24 06:04:58
 0  1       998396     18276288        50256     46752080    0    0 21753    57 6196 7288   0   2  95   3   0 2018-11-24 06:05:01
 0  1       998396     18273896        50292     46752364    0    0 21915    51 6139 7253   1   2  95   3   0 2018-11-24 06:05:04
 1  0       998396     18274488        50336     46751512    0    0 21868    48 6183 7321   1   2  95   3   0 2018-11-24 06:05:07
 1  0       998396     18276016        51424     46751184    0    0 22376    35 6364 7499   0   2  95   3   0 2018-11-24 06:05:10
 0  1       998396     18275596        50416     46750544    0    0 22333    37 6485 7434   0   2  95   3   0 2018-11-24 06:05:13
 0  1       998396     18273928        51532     46751704    0    0 22027   132 6192 7647   0   2  95   3   0 2018-11-24 06:05:16
 0  1       998396     18272836        50532     46752376    0    0 22953    44 6462 7588   1   2  94   3   0 2018-11-24 06:05:19
 0  0       998396     18274368        51676     46751712    0    0 21657   137 6200 7300   1   2  95   3   0 2018-11-24 06:05:22
 2  0       998396     18273960        52104     46751860    0    0  9551   779 3923 5336   0   1  96   3   0 2018-11-24 06:05:25
 0  1       998396     18272588        51104     46751824    0    0 23656    39 6568 7697   1   2  95   3   0 2018-11-24 06:05:28
 2  0       998396     18275136        51156     46750840    0    0 23325    55 6612 7644   1   2  95   3   0 2018-11-24 06:05:31
 0  1       998396     18274340        51208     46751972    0    0 23201    39 6441 7522   1   2  95   3   0 2018-11-24 06:05:34
 1  0       998396     18272272        51244     46752508    0    0 23540    49 6479 7623   1   2  95   3   0 2018-11-24 06:05:37
 2  0       998396     18272964        51284     46751956    0    0 23679    29 6689 7713   1   2  94   3   0 2018-11-24 06:05:40
 2  0       998396     18270660        52216     46752028    0    0 23401    40 6545 7589   1   2  94   3   0 2018-11-24 06:05:43
 1  0       998396     18267388        51392     46751932    0    0 20779   127 6164 7677   1   2  95   3   0 2018-11-24 06:05:46
 0  0       998396     17849652        51392     47159736    0    0   779 236928 5603 6352   1   1  98   0   0 2018-11-24 06:05:49
 0  0       998396     17853068        51404     47159620    0    0     0 297319 6294 7103   0   0 100   0   0 2018-11-24 06:05:52
 0  0       998396     17855636        51404     47159608    0    0     0 293675 6682 7140   0   0  99   0   0 2018-11-24 06:05:55
 0  0       998396     17858300        51412     47159636    0    0     0 293304 6723 7555   0   0  99   0   0 2018-11-24 06:05:58
 0  0       998396     17860748        51412     47159800    0    0     0 292904 6181 6983   0   0  99   0   0 2018-11-24 06:06:01
 1  0       998396     17863384        51420     47159676    0    0     0 294069 6201 7010   0   0 100   0   0 2018-11-24 06:06:04
 0  0       998396     17864092        51420     47159672    0    0     0 294423 6269 7027   0   0  99   0   0 2018-11-24 06:06:07
 0  0       998396     17865200        51428     47159656    0    0     0 290913 6149 6888   0   0  99   0   0 2018-11-24 06:06:10
 0  0       998396     17865612        51428     47159656    0    0     0 293385 6167 6913   0   0  99   0   0 2018-11-24 06:06:13
 0  0       998396     17866000        51436     47159604    0    0     0 290612 6104 7093   0   0  99   0   0 2018-11-24 06:06:16
 0  0       998396     17866464        51436     47159644    0    0     0 291321 6570 7092   0   0 100   0   0 2018-11-24 06:06:19
 0  0       998396     17867060        51444     47159640    0    0     0 296168 6221 6984   0   0 100   0   0 2018-11-24 06:06:22
 0  0       998396     17867040        51444     47159640    0    0     0 293995 6182 6913   0   0  99   0   0 2018-11-24 06:06:25
 0  0       998396     17867040        51452     47159644    0    0     0 295869 6502 7392   0   0  99   0   0 2018-11-24 06:06:28
 0  0       998396     17867148        51452     47159676    0    0     0 293647 6399 7274   0   0 100   0   0 2018-11-24 06:06:31
 0  0       998396     17867332        51460     47159696    0    0     0 296528 6246 6957   0   0 100   0   0 2018-11-24 06:06:34
 0  0       998396     17867364        51460     47159652    0    0     0 293332 6219 6996   0   0  99   0   0 2018-11-24 06:06:37
 0  0       998396     17867784        51468     47159648    0    0     0 295183 6523 7058   0   0 100   0   0 2018-11-24 06:06:40
 0  0       998396     17867424        51472     47159576    0    0     0 297195 6324 7056   0   0 100   0   0 2018-11-24 06:06:43
 0  0       998396     17867768        51480     47159664    0    0     0 294973 6246 6956   0   0  99   0   0 2018-11-24 06:06:46
 1  0       998396     17867824        51480     47159660    0    0     0 291073 6472 7313   0   0 100   0   0 2018-11-24 06:06:49
 0  0       998396     17867920        51488     47159664    0    0     0 295571 6147 6940   0   0  99   0   0 2018-11-24 06:06:52
 0  0       998396     17867980        51488     47159724    0    0     0 294079 6156 6912   0   0  99   0   0 2018-11-24 06:06:55
 0  0       998396     17867948        51496     47159704    0    0     0 297913 6300 7093   0   0 100   0   0 2018-11-24 06:06:58
 0  0       998396     17868004        51496     47159728    0    0     0 292892 6609 7627   0   0  99   0   0 2018-11-24 06:07:01
 0  0       998396     17867992        51504     47159636    0    0     0 298236 6328 7083   0   0 100   0   0 2018-11-24 06:07:04
 0  0       998396     17867968        51504     47159692    0    0     0 294723 6167 6942   0   0 100   0   0 2018-11-24 06:07:07
 0  0       998396     17868060        51512     47159680    0    0     0 293429 6222 6899   0   0 100   0   0 2018-11-24 06:07:10
 0  0       998396     17867780        51512     47159760    0    0     0 294072 6199 6994   0   0 100   0   0 2018-11-24 06:07:13
 0  0       998396     17868228        51520     47159732    0    0     0 295741 6243 7059   0   0  99   0   0 2018-11-24 06:07:16
 0  0       998396     17867476        51520     47159704    0    0     0 293931 6408 7388   0   0 100   0   0 2018-11-24 06:07:19
 0  0       998396     17867896        51528     47159668    0    0     0 295452 6207 6978   0   0  99   0   0 2018-11-24 06:07:22
 0  0       998396     17867924        51528     47159728    0    0     0 290389 6048 6869   0   0 100   0   0 2018-11-24 06:07:25
 0  0       998396     17867932        51536     47159724    0    0     0 296327 6191 6948   0   0  99   0   0 2018-11-24 06:07:28
 0  0       998396     17867900        51536     47159760    0    0     0 293760 6159 6927   0   0 100   0   0 2018-11-24 06:07:31
 1  0       998396     17868048        51544     47159696    0    0     0 293361 6676 7743   0   0  99   0   0 2018-11-24 06:07:34
 1  0       998396     17867796        51552     47160068    0    0     0 293413 6129 6928   0   0  99   0   0 2018-11-24 06:07:37
 0  0       998396     17868312        51552     47159744    0    0     0 293419 6131 6909   0   0 100   0   0 2018-11-24 06:07:40
 0  0       998396     17868320        51560     47159736    0    0     0 294117 6133 6924   0   0  99   0   0 2018-11-24 06:07:43
 0  0       998396     17868288        51560     47159764    0    0     0 293461 6128 6928   0   0 100   0   0 2018-11-24 06:07:46
 1  0       998396     17868256        51568     47159752    0    0     0 295900 6250 7035   0   0 100   0   0 2018-11-24 06:07:49
 0  0       998396     17868068        51568     47159676    0    0     0 297181 6325 7154   0   0  99   0   0 2018-11-24 06:07:52
 0  0       998396     17867956        51576     47159660    0    0     0 289939 6501 7310   0   0 100   0   0 2018-11-24 06:07:55
 0  0       998396     17868388        51576     47159608    0    0     0 297149 6292 7067   0   0 100   0   0 2018-11-24 06:07:58
 0  0       998396     17868452        51584     47159644    0    0     0 293007 6148 6943   0   0 100   0   0 2018-11-24 06:08:01
 0  0       998396     17868460        51584     47159700    0    0     0 293888 6200 7068   0   0 100   0   0 2018-11-24 06:08:04
 0  0       998396     17868468        51592     47159696    0    0     0 290083 6507 7539   0   0 100   0   0 2018-11-24 06:08:07
 0  0       998396     17867660        51592     47159728    0    0     0 296789 6200 6933   0   0  99   0   0 2018-11-24 06:08:10
 0  0       998396     17867784        51600     47159736    0    0     0 293947 6167 6935   0   0  99   0   0 2018-11-24 06:08:13
 0  0       998396     17867872        51600     47159732    0    0     0 295137 6170 6947   0   0  99   0   0 2018-11-24 06:08:16
 0  0       998396     17867872        51608     47159760    0    0     0 292457 6148 6917   0   0  99   0   0 2018-11-24 06:08:19
