procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        64028      1570212        18188      2235160    0    1  2985  7130    7    3  41   5  47   6   0 2018-11-21 02:01:10
 0  0        64028      1573096        18272      2235068    0    0    29    41 2251  878   3   2  95   0   0 2018-11-21 02:01:13
 1  0        64028      3286120        18276       505248    0    0   305     5 1297  856   1   8  90   0   0 2018-11-21 02:01:16
 0  1        64028      3433104        18396       357832    0    0  5864   509 14579 2401   3   7  84   5   0 2018-11-21 02:01:19
 2  0        64028      3433400        18364       357832    0    0 10128    27 4809 3265   4   8  77  11   0 2018-11-21 02:01:22
 0  1        64028      3433624        18820       357832    0    0 10721    28 5099 3464   4   9  77  11   0 2018-11-21 02:01:25
 0  1        64028      3432332        18876       357836    0    0 16209    33 7109 5065   6  12  73   9   0 2018-11-21 02:01:28
 1  1        64028      3433356        18496       357892    0    0 17179    27 7529 5482   7  13  72   8   0 2018-11-21 02:01:31
 2  0        64028      3433084        18504       357836    0    0 17987    29 8643 5490   7  14  71   8   0 2018-11-21 02:01:34
 3  1        64028      3432112        19584       357820    0    0 17641    29 7753 5470   7  13  72   8   0 2018-11-21 02:01:37
 0  1        64028      3433232        18576       357820    0    0  6555    27 3398 2343   3   6  81  10   0 2018-11-21 02:01:40
 3  1        64028      3432164        19540       357820    0    0 14861    33 6421 4466   5  11  75   8   0 2018-11-21 02:01:43
 4  0        64028      3432148        18640       357756    0    0 17288    28 7425 5404   6  13  73   8   0 2018-11-21 02:01:46
 3  0        64028      3432708        18684       357800    0    0 17301    29 8400 5450   7  13  72   8   0 2018-11-21 02:01:49
 0  1        64028      3431196        19760       357808    0    0 17921    35 7679 5606   7  13  72   9   0 2018-11-21 02:01:52
 2  0        64028      3431848        19540       357812    0    0 17524    36 7990 5615   6  13  72   8   0 2018-11-21 02:01:55
 0  1        64028      3431640        19496       357816    0    0 17189    41 8738 5429   6  13  73   8   0 2018-11-21 02:01:58
 2  0        64028      3432640        18856       358168    0    0 16269   147 10442 5203   6  12  73   9   0 2018-11-21 02:02:01
 4  0        64028      3432008        19952       358040    0    0 17985    37 7912 5632   7  13  72   8   0 2018-11-21 02:02:04
 0  1        64028      3432324        18932       358168    0    0 17593    27 7533 5624   7  13  72   9   0 2018-11-21 02:02:07
 4  0        64028      3432356        18972       358164    0    0 17661    28 7699 5484   6  13  72   9   0 2018-11-21 02:02:10
 1  0        64028      3432620        19008       358168    0    0 17559    35 8389 5546   6  13  72   8   0 2018-11-21 02:02:13
 2  0        64028      3431364        19612       358168    0    0 17012    27 7141 5420   6  13  72   8   0 2018-11-21 02:02:16
