procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0         9080      1197072        18564      2612188    0    0   966  3932   43   40  74   2  19   4   0 2018-11-25 23:49:33
 0  0         9080      1195760        18636      2613260    0    0    48     0 1170  826   2   2  96   0   0 2018-11-25 23:49:36
 1  0         9080      3075084        18652       721028    0    0   117    51 1476  772   1   9  90   0   0 2018-11-25 23:49:39
 0  1         9080      3470184        19388       325248    0    0  6628   354 14601 13296   3   8  85   5   0 2018-11-25 23:49:42
 0  1         9080      3470960        19176       325232    0    0  7963    27 4599 3556   2   7  78  12   0 2018-11-25 23:49:45
 0  1         9080      3471176        18828       325232    0    0 10779    27 4705 3375   3   9  77  11   0 2018-11-25 23:49:48
 3  0         9080      3472240        18792       325252    0    0 10152    33 5295 3974   2   9  78  11   0 2018-11-25 23:49:51
 2  0         9080      3471628        18828       325204    0    0 16945    27 6852 4874   4  13  75   9   0 2018-11-25 23:49:54
 1  0         9080      3471356        18860       325220    0    0 18623    27 8234 6145   4  13  74   8   0 2018-11-25 23:49:57
 0  1         9080      3471296        18888       325220    0    0  8359    27 4862 3900   2   7  80  11   0 2018-11-25 23:50:00
 2  0         9080      3471164        18952       325168    0    0 16853   149 12414 10366   4  12  75   9   0 2018-11-25 23:50:03
 2  1         9080      3471304        19008       325212    0    0 17008    39 8123 6097   4  13  74   9   0 2018-11-25 23:50:06
 0  1         9080      3470784        19712       325224    0    0 17765    27 8055 5897   4  13  74   9   0 2018-11-25 23:50:09
 2  0         9080      3471636        19056       325236    0    0 17740    28 6955 4958   4  13  75   9   0 2018-11-25 23:50:12
 2  0         9080      3471564        19096       325416    0    0 17541    36 7696 5671   4  13  75   9   0 2018-11-25 23:50:15
 1  0         9080      3470880        19128       325200    0    0  8284    33 5207 4238   2   7  79  12   0 2018-11-25 23:50:18
 0  1         9080      3470560        19168       325252    0    0 15907    35 7546 5696   4  12  75   9   0 2018-11-25 23:50:21
 1  0         9080      3472808        19200       325252    0    0 17963    27 7051 5003   4  13  75   9   0 2018-11-25 23:50:24
 2  0         9080      3470692        19240       325252    0    0 17631    29 7875 5898   3  13  76   8   0 2018-11-25 23:50:27
 2  0         9080      3470820        19272       325248    0    0 17929    28 7846 5955   4  13  74   9   0 2018-11-25 23:50:30
 2  0         9080      3470124        20080       325308    0    0 17197    27 6793 4646   4  13  75   8   0 2018-11-25 23:50:33
 2  0         9080      3472080        19356       325188    0    0 17644    41 8520 6575   4  13  74   8   0 2018-11-25 23:50:36
 1  0         9080      3472080        19388       325184    0    0 18245    27 8131 5982   4  13  74   9   0 2018-11-25 23:50:39
 6  0         9080      3470376        19676       325184    0    0 18235    28 7045 5105   4  13  74   9   0 2018-11-25 23:50:42
 1  0         9080      3470452        19464       325184    0    0 17388    32 7755 5862   5  13  74   9   0 2018-11-25 23:50:45
 1  0         9080      3471260        19496       325124    0    0 17981    27 7757 5740   4  13  74   8   0 2018-11-25 23:50:48
 0  1         9080      3471064        19528       325120    0    0 17273    28 6927 4847   4  13  75   8   0 2018-11-25 23:50:51
 0  1         9080      3469700        20492       325128    0    0 17485    40 7688 5764   4  12  76   9   0 2018-11-25 23:50:54
 3  1         9080      3470720        19592       325072    0    0 17248    27 7342 5344   3  12  76   8   0 2018-11-25 23:50:57
 2  0         9080      3470924        19660       325180    0    0 17305    35 6876 5068   4  12  75   9   0 2018-11-25 23:51:00
 0  1         9080      3470452        20268       325136    0    0 17001   124 12517 10605   4  13  75   8   0 2018-11-25 23:51:03
 0  1         9080      3469676        20544       325136    0    0 18011    29 8252 6213   4  13  74   9   0 2018-11-25 23:51:06
 0  1         9080      3470948        19768       325140    0    0 17315    41 7777 5820   4  12  75   9   0 2018-11-25 23:51:09
 2  0         9080      3469736        20580       325140    0    0 17819    28 6909 4839   4  12  75   9   0 2018-11-25 23:51:12
 2  1         9080      3470992        20168       325140    0    0 16985    32 7895 5933   4  13  75   8   0 2018-11-25 23:51:15
 5  0         9080      3470824        19888       325272    0    0 17989    29 7858 5788   4  13  75   9   0 2018-11-25 23:51:18
 2  1         9080      3468284        20964       325136    0    0 17215    27 6841 4852   4  13  75   9   0 2018-11-25 23:51:21
 5  0         9080      3470244        19972       325144    0    0 17695    44 8067 6128   4  13  75   8   0 2018-11-25 23:51:24
 2  1         9080      3470100        20580       325064    0    0 17896    27 7565 5579   4  13  74   8   0 2018-11-25 23:51:27
 3  1         9080      3469352        20812       325140    0    0 18139    28 6859 5000   4  12  75   9   0 2018-11-25 23:51:30
 2  0         9080      3470124        20084       325144    0    0 16868    39 7763 5699   4  12  76   8   0 2018-11-25 23:51:33
 1  0         9080      3470440        20116       325084    0    0 17257    27 7594 5545   4  13  74   9   0 2018-11-25 23:51:36
 1  1         9080      3469132        20852       325032    0    0 17832    31 7799 5776   4  13  74   9   0 2018-11-25 23:51:39
 3  0         9080      3469412        21240       325156    0    0 17623    44 8257 6123   4  13  74   9   0 2018-11-25 23:51:42
 0  0         9080      3057632        20220       734052    0    0  7557 14820 3853 2763   4   8  84   4   0 2018-11-25 23:51:45
 0  0         9080      3057404        20220       734068    0    0     0 305877 6295 5036   1   2  97   0   0 2018-11-25 23:51:48
 0  0         9080      3057016        20232       734068    0    0     0 308528 6611 5265   2   2  96   0   0 2018-11-25 23:51:51
 1  0         9080      3057176        20232       734068    0    0     0 306347 6351 5025   1   2  97   0   0 2018-11-25 23:51:54
 0  0         9080      3057056        20240       734072    0    0     0 307887 6683 5140   2   2  96   0   0 2018-11-25 23:51:57
 1  0         9080      3056156        20240       734072    0    0     0 309973 6408 5084   2   2  96   0   0 2018-11-25 23:52:00
 1  0         9080      3056016        20248       734072    0    0     0 304260 6311 5020   1   2  97   0   0 2018-11-25 23:52:03
 1  0         9080      3055700        20248       734072    0    0     0 305323 6300 5045   2   2  96   0   0 2018-11-25 23:52:06
 0  0         9080      3055764        20256       734072    0    0     0 307384 6487 5236   1   2  97   0   0 2018-11-25 23:52:09
 0  0         9080      3056324        20256       734080    0    0     0 306773 6263 5060   2   2  96   0   0 2018-11-25 23:52:12
 0  0         9080      3055820        20264       734080    0    0     0 305744 9980 8690   2   2  96   0   0 2018-11-25 23:52:15
 0  0         9080      3055772        20264       734080    0    0     0 304981 6256 4983   1   2  97   0   0 2018-11-25 23:52:18
 0  0         9080      3056500        20276       734084    0    0     0 306839 9205 7683   2   2  96   0   0 2018-11-25 23:52:21
 0  0         9080      3056500        20276       734084    0    0     0 302208 6395 4912   2   2  95   1   0 2018-11-25 23:52:24
 1  0         9080      3056932        20284       734088    0    0     0 306795 6430 5002   2   2  96   0   0 2018-11-25 23:52:27
 1  0         9080      3056536        20284       734104    0    0     0 305152 6357 5054   2   2  96   0   0 2018-11-25 23:52:30
 1  0         9080      3056552        20292       734104    0    0     0 303876 6307 5062   1   2  96   0   0 2018-11-25 23:52:33
 0  0         9080      3056656        20292       734108    0    0     0 305792 6587 5038   2   2  96   0   0 2018-11-25 23:52:36
 0  0         9080      3056592        20300       734108    0    0     0 306863 6338 5029   1   2  97   0   0 2018-11-25 23:52:39
 0  0         9080      3056888        20300       734108    0    0     0 308352 6366 5107   2   2  96   0   0 2018-11-25 23:52:42
 0  0         9080      3056996        20308       734112    0    0     0 301956 6474 5150   1   2  96   0   0 2018-11-25 23:52:45
 2  0         9080      3057036        20308       734112    0    0     0 307627 6355 5027   1   2  97   0   0 2018-11-25 23:52:48
 0  0         9080      3056072        20316       734116    0    0     0 305756 6886 5035   2   2  96   0   0 2018-11-25 23:52:51
 0  0         9080      3056064        20316       734116    0    0     0 302805 6271 4982   1   2  97   0   0 2018-11-25 23:52:54
 0  0         9080      3056376        20324       734116    0    0     0 308685 7573 6253   2   2  96   0   0 2018-11-25 23:52:57
 0  0         9080      3056336        20340       734120    0    0     0 304275 6654 5415   1   2  96   0   0 2018-11-25 23:53:00
 1  0         9080      3056032        20348       734124    0    0     0 305080 6449 5142   1   2  96   0   0 2018-11-25 23:53:03
 1  0         9080      3056700        20348       734124    0    0     0 303232 6312 5011   1   2  96   0   0 2018-11-25 23:53:06
 0  0         9080      3056660        20356       734124    0    0     0 301624 7061 5830   1   2  97   0   0 2018-11-25 23:53:09
 0  0         9080      3056620        20356       734124    0    0     0 305280 6293 5050   1   2  96   0   0 2018-11-25 23:53:12
 0  0         9080      3056528        20364       734128    0    0     0 305881 6389 5104   2   2  96   0   0 2018-11-25 23:53:15
 0  0         9080      3056488        20364       734128    0    0     0 305451 6276 5012   1   2  97   0   0 2018-11-25 23:53:18
 0  0         9080      3055620        20372       734128    0    0     0 301871 6427 5138   1   2  96   0   0 2018-11-25 23:53:21
 0  0         9080      3055628        20372       734128    0    0     0 305920 6317 5042   1   2  96   0   0 2018-11-25 23:53:24
 0  0         9080      3055744        20380       734128    0    0     0 304732 6329 5019   2   2  96   0   0 2018-11-25 23:53:27
 1  0         9080      3055404        20388       734136    0    0     0 305908 6607 5143   1   2  96   0   0 2018-11-25 23:53:30
 0  0         9080      3055428        20388       734136    0    0     0 309120 6361 5104   1   2  97   0   0 2018-11-25 23:53:33
 0  0         9080      3055496        20396       734136    0    0     0 303247 9255 7755   2   3  95   0   0 2018-11-25 23:53:36
 0  0         9080      3055480        20396       734136    0    0     0 305792 6328 4948   1   2  97   0   0 2018-11-25 23:53:39
 0  0         9080      3055556        20404       734152    0    0     0 305583 6307 5028   2   2  96   0   0 2018-11-25 23:53:42
 1  0         9080      3055596        20404       734156    0    0     0 303360 6313 4955   2   2  96   0   0 2018-11-25 23:53:45
 0  0         9080      3055424        20412       734160    0    0     0 303791 6322 5075   1   2  97   0   0 2018-11-25 23:53:48
 0  0         9080      3056184        20412       734160    0    0     0 306517 6305 5012   2   2  96   0   0 2018-11-25 23:53:51
 0  0         9080      3056232        20420       734160    0    0     0 308271 6392 5119   1   2  97   0   0 2018-11-25 23:53:54
 0  0         9080      3056688        20420       734160    0    0     0 304213 6265 5028   1   2  96   0   0 2018-11-25 23:53:57
 0  0         9080      3056168        20428       734160    0    0     0 309044 6421 5144   2   2  96   0   0 2018-11-25 23:54:00
 2  0         9080      3055788        20428       734164    0    0     0 301781 6220 4992   1   2  96   0   0 2018-11-25 23:54:03
 0  0         9080      3055852        20436       734164    0    0     0 308035 7848 6408   1   2  96   0   0 2018-11-25 23:54:06
 1  0         9080      3055796        20436       734168    0    0     0 304896 6290 5007   1   2  97   0   0 2018-11-25 23:54:09
 0  0         9080      3055968        20444       734172    0    0     0 303073 6551 5008   1   2  96   0   0 2018-11-25 23:54:12
 0  0         9080      3055728        20452       734172    0    0     0 307801 6586 5214   1   2  96   0   0 2018-11-25 23:54:15
 0  0         9080      3055752        20452       734176    0    0     0 304768 6295 5012   1   2  97   0   0 2018-11-25 23:54:18
 0  0         9080      3055644        20460       734176    0    0     0 302297 6327 5021   2   2  96   0   0 2018-11-25 23:54:21
 0  0         9080      3055548        20460       734180    0    0     0 305920 6317 5038   1   2  97   0   0 2018-11-25 23:54:24
 0  0         9080      3055836        20468       734180    0    0     0 304303 6310 5054   2   2  96   0   0 2018-11-25 23:54:27
 0  0         9080      3056228        20468       734180    0    0     0 306901 6361 5058   2   2  96   0   0 2018-11-25 23:54:30
 0  0         9080      3056308        20476       734180    0    0     0 306820 6390 5076   1   2  97   0   0 2018-11-25 23:54:33
 1  0         9080      3056068        20476       734184    0    0     0 298731 9525 8190   1   3  96   0   0 2018-11-25 23:54:36
 0  0         9080      3055968        20484       734184    0    0     0 303965 6282 5049   1   2  97   0   0 2018-11-25 23:54:39
 0  0         9080      3056128        20484       734184    0    0     0 303924 6517 5176   1   2  96   0   0 2018-11-25 23:54:42
 0  0         9080      3056124        20492       734184    0    0     0 303373 6466 5164   1   2  96   0   0 2018-11-25 23:54:45
 0  0         9080      3056100        20492       734188    0    0     0 302507 6227 4952   1   2  97   0   0 2018-11-25 23:54:48
 3  0         9080      3056272        20500       734192    0    0     0 300847 6683 4935   1   2  96   0   0 2018-11-25 23:54:51
 0  0         9080      3056264        20500       734192    0    0     0 300501 6144 4941   1   2  97   0   0 2018-11-25 23:54:54
 1  0         9080      3055744        20508       734192    0    0     0 303492 6773 5156   1   2  96   0   0 2018-11-25 23:54:57
 1  0         9080      3055836        20508       734192    0    0     0 300032 6143 4937   2   2  96   0   0 2018-11-25 23:55:00
 0  0         9080      3055068        20516       734208    0    0     0 301839 6479 5155   1   2  96   0   0 2018-11-25 23:55:03
 0  0         9080      3055488        20516       734216    0    0     0 305280 6315 5036   2   2  96   0   0 2018-11-25 23:55:06
 1  0         9080      3055576        20524       734216    0    0     0 298841 6143 4916   1   2  97   0   0 2018-11-25 23:55:09
 0  0         9080      3055272        20524       734216    0    0     0 297233 7082 5788   1   2  97   0   0 2018-11-25 23:55:12
 0  0         9080      3055784        20532       734216    0    0     0 301627 6437 5067   1   2  96   0   0 2018-11-25 23:55:15
 0  0         9080      3055832        20532       734216    0    0     0 301056 6187 4955   1   2  97   0   0 2018-11-25 23:55:18
 1  0         9080      3055792        20540       734220    0    0     0 300769 6250 4987   1   2  96   0   0 2018-11-25 23:55:21
 1  0         9080      3055800        20540       734220    0    0     0 303360 6209 4973   1   2  97   0   0 2018-11-25 23:55:24
 0  0         9080      3055544        20548       734224    0    0     0 301316 6955 4967   2   2  96   0   0 2018-11-25 23:55:27
 0  0         9080      3055744        20548       734224    0    0     0 298965 6170 4947   2   2  96   0   0 2018-11-25 23:55:30
 0  0         9080      3055760        20556       734224    0    0     0 297647 6060 4890   1   2  97   0   0 2018-11-25 23:55:33
 0  0         9080      3056060        20556       734224    0    0     0 298513 11334 9952   1   3  96   0   0 2018-11-25 23:55:36
 0  0         9080      3056092        20564       734228    0    0     0 300933 6108 4925   1   2  97   0   0 2018-11-25 23:55:39
 0  0         9080      3055340        20564       734228    0    0     0 297472 6064 4897   1   2  96   0   0 2018-11-25 23:55:42
 0  0         9080      3055216        20572       734232    0    0     0 299195 6328 5107   2   2  96   0   0 2018-11-25 23:55:45
 1  0         9080      3055200        20572       734236    0    0     0 296917 6118 4845   1   2  97   0   0 2018-11-25 23:55:48
 0  0         9080      3055348        20580       734236    0    0     0 295480 6284 5063   1   2  96   0   0 2018-11-25 23:55:51
 1  0         9080      3055380        20580       734240    0    0     0 295253 6041 4849   1   2  97   0   0 2018-11-25 23:55:54
 1  0         9080      3054984        20588       734240    0    0     0 299237 6398 5027   2   2  96   0   0 2018-11-25 23:55:57
 0  0         9080      3055116        20588       734240    0    0     0 302251 6301 4978   2   2  96   0   0 2018-11-25 23:56:00
 0  0         9080      3055108        20596       734244    0    0     0 299396 6269 4981   1   2  97   0   0 2018-11-25 23:56:03
 1  0         9080      3056300        20596       734248    0    0     0 297472 6357 4911   2   2  96   0   0 2018-11-25 23:56:06
 1  0         9080      3056372        20604       734252    0    0     0 301155 7302 5014   1   2  97   0   0 2018-11-25 23:56:09
 1  0         9080      3054972        20604       734252    0    0     0 297600 7082 4888   1   2  97   0   0 2018-11-25 23:56:12
 0  0         9080      3055008        20612       734252    0    0     0 299737 7159 5071   1   2  97   0   0 2018-11-25 23:56:15
 1  0         9080      3055024        20612       734252    0    0     0 300288 6159 4941   1   2  97   0   0 2018-11-25 23:56:18
 1  0         9080      3055248        20620       734252    0    0     0 301208 6682 5446   2   2  96   0   0 2018-11-25 23:56:21
 0  0         9080      3055248        20620       734256    0    0     0 300800 6199 4966   1   2  97   0   0 2018-11-25 23:56:24
 0  0         9080      3055744        20628       734260    0    0     0 301244 7297 6003   1   2  96   0   0 2018-11-25 23:56:27
 0  0         9080      3055828        20628       734260    0    0     0 302421 6260 4990   2   2  96   0   0 2018-11-25 23:56:30
 0  0         9080      3055812        20636       734260    0    0     0 299873 6271 5082   1   2  97   0   0 2018-11-25 23:56:33
 0  0         9080      3056024        20636       734260    0    0     0 300553 8773 7042   2   2  96   0   0 2018-11-25 23:56:36
 0  0         9080      3056008        20644       734260    0    0     0 298720 6382 4963   1   2  97   0   0 2018-11-25 23:56:39
 1  0         9080      3056712        20644       734264    0    0     0 300501 6196 4934   1   2  96   0   0 2018-11-25 23:56:42
 1  0         9080      3055876        20652       734268    0    0     0 302127 6290 4973   2   2  96   0   0 2018-11-25 23:56:45
 0  0         9080      3055788        20652       734268    0    0     0 298923 6146 4911   1   2  97   0   0 2018-11-25 23:56:48
 0  0         9080      3055348        20660       734268    0    0     0 303023 6521 5177   1   2  96   0   0 2018-11-25 23:56:51
 1  0         9080      3055292        20660       734268    0    0     0 298837 6179 4932   1   2  97   0   0 2018-11-25 23:56:54
 0  0         9080      3055580        20668       734272    0    0     0 297873 7448 6078   2   2  96   0   0 2018-11-25 23:56:57
 1  0         9080      3055124        20676       734272    0    0     0 301844 6519 5224   1   2  96   0   0 2018-11-25 23:57:00
 0  0         9080      3055416        20676       734272    0    0     0 302123 6266 4981   1   2  96   0   0 2018-11-25 23:57:03
 0  0         9080      3055680        20684       734272    0    0     0 305467 7056 5175   1   2  96   0   0 2018-11-25 23:57:06
 0  0         9080      3055736        20684       734276    0    0     0 300971 6741 4946   1   2  97   0   0 2018-11-25 23:57:09
 1  0         9080      3055216        20692       734280    0    0     0 304815 6324 5048   2   2  96   0   0 2018-11-25 23:57:12
 0  0         9080      3054992        20692       734280    0    0     0 306176 6368 5063   1   2  96   0   0 2018-11-25 23:57:15
 0  0         9080      3055008        20700       734284    0    0     0 304175 6301 5058   1   2  97   0   0 2018-11-25 23:57:18
 0  0         9080      3055208        20700       734284    0    0     0 306091 6326 5040   2   2  96   0   0 2018-11-25 23:57:21
 0  0         9080      3055192        20708       734288    0    0     0 304089 6291 5033   1   2  97   0   0 2018-11-25 23:57:24
 1  0         9080      3055200        20708       734288    0    0     0 305877 6438 5055   2   2  96   0   0 2018-11-25 23:57:27
 0  0         9080      3055240        20716       734292    0    0     0 306239 7554 6079   2   2  96   0   0 2018-11-25 23:57:30
 0  0         9080      3055320        20716       734292    0    0     0 308352 6370 5075   1   2  97   0   0 2018-11-25 23:57:33
 0  0         9080      3054676        20724       734292    0    0     0 305687 8859 7466   1   3  96   0   0 2018-11-25 23:57:36
 2  0         9080      3054668        20724       734292    0    0     0 306005 6266 5012   1   2  97   0   0 2018-11-25 23:57:39
 1  0         9080      3055336        20732       734292    0    0     0 305975 6536 5228   1   2  96   0   0 2018-11-25 23:57:42
 0  0         9080      3055624        20732       734296    0    0     0 300373 6317 4969   2   2  96   0   0 2018-11-25 23:57:45
 1  0         9080      3055552        20740       734300    0    0     0 305199 6366 5034   1   2  97   0   0 2018-11-25 23:57:48
 0  0         9080      3055644        20740       734300    0    0     0 306475 6656 5033   2   2  96   0   0 2018-11-25 23:57:51
 1  0         9080      3055684        20748       734300    0    0     0 301188 6731 4982   1   2  97   0   0 2018-11-25 23:57:54
 0  0         9080      3054824        20748       734300    0    0     0 304341 6540 5059   1   2  96   0   0 2018-11-25 23:57:57
 1  0         9080      3055312        20756       734304    0    0     0 303407 6245 5076   1   2  96   0   0 2018-11-25 23:58:00
 0  0         9080      3055164        20772       734308    0    0     0 302653 7308 6065   1   2  96   0   0 2018-11-25 23:58:03
 0  0         9080      3055760        20772       734308    0    0     0 305461 6495 5174   2   2  96   0   0 2018-11-25 23:58:06
 1  0         9080      3055768        20780       734308    0    0     0 308368 6534 5266   1   2  97   0   0 2018-11-25 23:58:09
 1  0         9080      3055088        20780       734308    0    0     0 307848 6557 5241   2   2  96   0   0 2018-11-25 23:58:12
 0  0         9080      3054544        20788       734312    0    0     0 305761 6444 5073   2   2  96   0   0 2018-11-25 23:58:15
 0  0         9080      3054488        20788       734312    0    0     0 304469 6927 5008   1   2  97   0   0 2018-11-25 23:58:18
 0  0         9080      3054768        20796       734312    0    0     0 302980 6477 5186   2   2  96   0   0 2018-11-25 23:58:21
