procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0        47372      1801484        23288      2027788    0    0  2790  6699   85  105  36  11  47   7   0 2019-03-21 16:10:27
 0  0        47372      1800504        23368      2027948    0    0    71     0  809  546   3   2  95   0   0 2019-03-21 16:10:30
 2  0        47372      3600204        23388       219060    0    0   273    38 1521  824   1   9  90   0   0 2019-03-21 16:10:33
 1  1        47372      3604320        23552       220420    0    0  3531   685 18669 17513   4   6  88   2   0 2019-03-21 16:10:36
 0  1        47372      3603668        24136       220168    0    0  5503   400 20965 19732   2   6  77  14   0 2019-03-21 16:10:39
 0  1        47372      3603444        24372       220124    0    0  8607   217 10764 9552   2   7  79  12   0 2019-03-21 16:10:42
 0  1        47372      3603948        23744       220112    0    0 14607   111 9093 7404   4  10  78   9   0 2019-03-21 16:10:45
 0  1        47372      3605108        24144       219984    0    0 12332    33 5110 3568   3   8  79  11   0 2019-03-21 16:10:48
 0  1        47372      3603924        24296       220160    0    0 10079   176 8897 7510   3   7  79  11   0 2019-03-21 16:10:51
 0  1        47372      3604104        24216       220160    0    0 15496    36 7465 5630   3  10  77   9   0 2019-03-21 16:10:54
 0  1        47372      3603408        24644       220160    0    0 14235   256 14257 12294   3   9  77  10   0 2019-03-21 16:10:57
 1  1        47372      3604268        24340       220164    0    0 15052    51 9600 7869   4  10  76   9   0 2019-03-21 16:11:00
 0  1        47372      3603020        24648       220164    0    0 14580   128 14558 12760   3  10  78   9   0 2019-03-21 16:11:03
 0  1        47372      3602912        24580       220164    0    0 13275   244 23681 21873   3  10  76  11   0 2019-03-21 16:11:06
 6  0        47372      3603236        24612       220156    0    0 13493   292 20235 18393   4  10  76   9   0 2019-03-21 16:11:09
 2  0        47372      3602724        24656       220168    0    0 14831    49 9644 7971   3  10  77   9   0 2019-03-21 16:11:12
 1  1        47372      3602720        24924       220256    0    0 11715   219 14755 13147   3   9  78  10   0 2019-03-21 16:11:15
 1  0        47372      3603140        24908       220256    0    0  5961    33 2740 2080   2   4  81  13   0 2019-03-21 16:11:18
 1  1        47372      3602104        25492       220256    0    0 14169   189 11882 10112   3  10  77   9   0 2019-03-21 16:11:21
 0  1        47372      3603104        24956       220256    0    0 14588   109 10334 8501   4  10  78   9   0 2019-03-21 16:11:24
 3  0        47372      3602964        24552       220256    0    0 15455    33 6576 4760   3  10  78   9   0 2019-03-21 16:11:27
 2  0        47372      3603672        24608       220196    0    0 14432   212 12052 10311   3  10  77  10   0 2019-03-21 16:11:30
 0  0        47372      3603888        25072       220196    0    0 14892    97 9165 7398   3  10  78   9   0 2019-03-21 16:11:33
 0  1        47372      3603120        24716       220196    0    0 15588    35 6566 4764   3  10  78   9   0 2019-03-21 16:11:36
 0  1        47372      3602476        25404       220200    0    0 12879   481 19877 17991   4  10  76  10   0 2019-03-21 16:11:39
 1  1        47372      3601584        25388       220200    0    0 15773    36 7618 5771   4  10  76  10   0 2019-03-21 16:11:42
 1  1        47372      3602212        25976       220184    0    0 15504   116 9219 7335   4  10  77   9   0 2019-03-21 16:11:45
 2  0        47372      3602632        25496       220192    0    0 14825   135 11121 9296   3  10  77  10   0 2019-03-21 16:11:48
 0  1        47372      3602772        25412       220196    0    0 15205   112 9261 7347   3  10  77  10   0 2019-03-21 16:11:51
 1  1        47372      3602148        25492       220332    0    0 14471   224 13752 12044   4  10  77   9   0 2019-03-21 16:11:54
 3  1        47372      3601888        25668       220336    0    0 15552    44 6672 4938   3  10  77  10   0 2019-03-21 16:11:57
 2  0        47372      3602544        25188       220416    0    0 15891    33 6474 4670   4  10  76   9   0 2019-03-21 16:12:00
 0  1        47372      3601708        25840       220340    0    0 14201   309 15985 14020   4  10  76  10   0 2019-03-21 16:12:03
 0  1        47372      3602272        25312       220340    0    0 15443    35 6351 4662   4  10  76  10   0 2019-03-21 16:12:06
 0  1        47372      3602072        25900       220340    0    0 14572   364 14785 12835   4  11  76   9   0 2019-03-21 16:12:09
 0  0        47372      3600932        26564       220340    0    0 14284   207 13290 11456   3  10  78   9   0 2019-03-21 16:12:12
 2  0        47372      3601800        25564       220340    0    0 15251    35 9228 7439   4  10  78   8   0 2019-03-21 16:12:15
 0  0        47372      3601804        26000       220312    0    0 13771   231 19648 17871   3  10  79   8   0 2019-03-21 16:12:18
 0  1        47372      3601740        25676       220312    0    0 15175    36 9816 8012   4  11  78   8   0 2019-03-21 16:12:21
 2  1        47372      3600648        26764       220312    0    0 16321    35 6815 4965   4  11  77   8   0 2019-03-21 16:12:24
 1  2        47372      3598592        27032       222792    0    0 13145   353 31662 29974   3  10  77   9   0 2019-03-21 16:12:27
 1  0        47372      3593152        26752       228176    0    0 16184   283 19986 18062   3  10  77   9   0 2019-03-21 16:12:30
 0  0        47372      3594208        26132       228156    0    0  7564    21 3844 3090   2   5  90   4   0 2019-03-21 16:12:33
 0  0        47372      3593604        26132       228164    0    0     0     0  115  127   0   0  99   0   0 2019-03-21 16:12:36
 0  0        47372      3593752        26140       228236    0    0     0     9  602  503   1   1  98   0   0 2019-03-21 16:12:39
 0  0        47372      3178860        26288       637032    0    0   805 226387 5645 4215   3   5  91   0   0 2019-03-21 16:12:42
 0  0        47372      3178520        26288       637032    0    0     0 300501 6170 4887   1   2  96   0   0 2019-03-21 16:12:45
 1  0        47372      3178448        26296       637032    0    0     0 305631 6329 5060   1   2  97   0   0 2019-03-21 16:12:48
 1  0        47372      3178496        26296       637040    0    0     0 305707 6252 4949   2   2  96   0   0 2019-03-21 16:12:51
 0  0        47372      3178548        26304       637040    0    0     0 302857 6291 5029   1   2  96   0   0 2019-03-21 16:12:54
 0  0        47372      3178620        26304       637040    0    0     0 301995 6142 4894   1   2  97   0   0 2019-03-21 16:12:57
 2  0        47372      3178528        26312       637040    0    0     0 306484 6300 5015   2   2  96   0   0 2019-03-21 16:13:00
 1  0        47372      3178588        26312       637044    0    0     0 305324 6288 4959   1   2  97   0   0 2019-03-21 16:13:03
 0  0        47372      3178712        26320       637052    0    0     0 304655 6307 5002   1   2  97   0   0 2019-03-21 16:13:06
 1  0        47372      3178608        26320       637052    0    0     0 305781 20432 18271   1   3  95   1   0 2019-03-21 16:13:09
 1  0        47372      3178572        26328       637060    0    0     0 307091 9081 7550   2   3  95   0   0 2019-03-21 16:13:12
 2  0        47372      3178956        26328       637060    0    0     0 304085 6332 4982   2   2  96   0   0 2019-03-21 16:13:15
 1  0        47372      3178932        26340       637064    0    0     0 302543 6184 4945   1   2  97   0   0 2019-03-21 16:13:18
 0  0        47372      3179048        26356       637068    0    0     0 300607 12016 10593   1   2  94   2   0 2019-03-21 16:13:21
 0  0        47372      3178884        26364       637088    0    0     0 301235 6226 4922   1   2  96   0   0 2019-03-21 16:13:24
 1  0        47372      3178868        26364       637088    0    0     0 300672 6099 4833   1   2  97   0   0 2019-03-21 16:13:27
 1  0        47372      3179048        26372       637092    0    0     0 304265 6358 5133   1   2  97   0   0 2019-03-21 16:13:30
 0  0        47372      3178544        26372       637076    0    0     0 303147 6141 4937   1   2  97   0   0 2019-03-21 16:13:33
 1  0        47372      3178628        26380       637076    0    0     0 304436 6128 4954   1   2  97   0   0 2019-03-21 16:13:36
 1  0        47372      3178900        26388       637080    0    0     0 302257 10685 9304   1   2  96   0   0 2019-03-21 16:13:39
 1  0        47372      3179280        26400       637080    0    0     0 302149 7043 5622   3   3  95   0   0 2019-03-21 16:13:42
 1  0        47372      3178924        26400       637084    0    0     0 304256 6157 4911   1   2  97   0   0 2019-03-21 16:13:45
 0  0        47372      3179240        26412       637084    0    0     0 303735 6253 5053   1   2  96   0   0 2019-03-21 16:13:48
 0  0        47372      3179660        26412       637088    0    0     0 303317 6172 4927   1   2  97   0   0 2019-03-21 16:13:51
 1  0        47372      3179756        26420       637092    0    0     0 303368 8355 6632   1   2  96   0   0 2019-03-21 16:13:54
 1  0        47372      3179088        26428       637092    0    0     0 298761 6186 4920   1   2  97   0   0 2019-03-21 16:13:57
 2  0        47372      3178608        26428       637096    0    0     0 301355 6127 4880   1   2  97   0   0 2019-03-21 16:14:00
 0  0        47372      3178804        26436       637096    0    0     0 304783 6363 5108   1   2  97   0   0 2019-03-21 16:14:03
 1  0        47372      3179136        26436       637100    0    0     0 300117 6268 4821   2   2  96   0   0 2019-03-21 16:14:06
 0  0        47372      3179000        26444       637104    0    0     0 301364 6686 4957   1   2  97   0   0 2019-03-21 16:14:09
 1  0        47372      3178872        26444       637232    0    0     0 298795 14930 13183   2   4  94   0   0 2019-03-21 16:14:12
 0  0        47372      3179064        26456       637328    0    0     0 308304 6510 5188   1   2  96   0   0 2019-03-21 16:14:15
 0  0        47372      3179056        26456       637328    0    0     0 304768 7251 5939   1   2  97   0   0 2019-03-21 16:14:18
 1  0        47372      3179028        26464       637328    0    0     0 298125 6274 5044   2   2  96   0   0 2019-03-21 16:14:21
 0  0        47372      3178788        26464       637336    0    0     0 299264 6095 4826   1   2  97   0   0 2019-03-21 16:14:24
 2  0        47372      3178452        26472       637340    0    0     0 302219 13514 11809   2   3  95   0   0 2019-03-21 16:14:27
 0  0        47372      3179056        26472       637344    0    0     0 303061 9741 7542   1   2  96   0   0 2019-03-21 16:14:30
 0  0        47372      3179000        26484       637344    0    0     0 303996 6347 4896   1   2  97   0   0 2019-03-21 16:14:33
 0  0        47372      3178552        26484       637344    0    0     0 299477 6585 4858   1   2  97   0   0 2019-03-21 16:14:36
 0  0        47372      3179048        26492       637348    0    0     0 304436 6356 4943   2   2  96   0   0 2019-03-21 16:14:39
 3  0        47372      3175640        26492       637428    0    0     0 297005 10167 4909   1   3  96   0   0 2019-03-21 16:14:42
 0  0        47372      3179048        26504       637352    0    0     0 298237 8275 4819   2   3  95   0   0 2019-03-21 16:14:45
 1  0        47372      3178312        26504       637352    0    0     0 298667 6116 4894   1   2  96   0   0 2019-03-21 16:14:48
 1  0        47372      3177908        26512       637352    0    0     0 299359 6254 4843   2   2  97   0   0 2019-03-21 16:14:51
 1  0        47372      3177904        26512       637352    0    0     0 303001 12802 4943   2   3  94   2   0 2019-03-21 16:14:54
 1  0        47372      3178048        26520       637356    0    0     0 301920 6350 4868   1   2  97   0   0 2019-03-21 16:14:57
 0  0        47372      3178256        26520       637356    0    0     0 302080 6059 4893   1   2  97   0   0 2019-03-21 16:15:00
 0  0        47372      3178900        26528       637368    0    0     0 302821 6517 4928   1   3  96   0   0 2019-03-21 16:15:03
 0  0        47372      3178592        26528       637368    0    0     0 304213 6163 4946   1   2  97   0   0 2019-03-21 16:15:06
 1  0        47372      3178592        26536       637368    0    0     0 301833 6214 4906   1   2  97   0   0 2019-03-21 16:15:09
 0  0        47372      3178668        26536       637376    0    0     0 299648 6134 4881   1   2  97   0   0 2019-03-21 16:15:12
 1  0        47372      3178584        26544       637396    0    0     7 302815 6621 5023   2   3  95   0   0 2019-03-21 16:15:15
 1  0        47372      3178560        26556       637396    0    0     0 304500 6256 4917   1   2  97   0   0 2019-03-21 16:15:18
 1  0        47372      3179020        26556       637448    0    0     0 303616 6400 4944   1   2  96   0   0 2019-03-21 16:15:21
 0  0        47372      3179008        26564       637448    0    0     0 301371 6415 4864   1   2  97   0   0 2019-03-21 16:15:24
 1  0        47372      3179124        26564       637480    0    0     0 299605 6275 4858   1   2  97   0   0 2019-03-21 16:15:27
 0  0        47372      3178976        26572       637484    0    0     0 296905 16947 4826   1   3  95   1   0 2019-03-21 16:15:30
 0  0        47372      3178968        26572       637484    0    0     0 293121 6157 4744   1   2  97   0   0 2019-03-21 16:15:33
 1  0        47372      3179020        26580       637500    0    0     0 301061 6373 4865   1   2  96   0   0 2019-03-21 16:15:36
 1  0        47372      3179068        26580       637500    0    0     0 300337 12118 4848   1   3  95   1   0 2019-03-21 16:15:39
 1  0        47372      3179060        26588       637504    0    0     0 300900 6217 4860   1   2  97   0   0 2019-03-21 16:15:42
 1  0        47372      3178184        26588       637516    0    0     0 299179 6462 4941   3   3  94   0   0 2019-03-21 16:15:45
 0  0        47372      3178168        26600       637516    0    0     0 299980 6314 4875   1   2  97   0   0 2019-03-21 16:15:48
 1  0        47372      3178752        26608       637520    0    0     0 300208 6155 4870   1   2  97   0   0 2019-03-21 16:15:51
 0  0        47372      3178232        26608       637520    0    0     0 300715 6202 4907   1   2  97   0   0 2019-03-21 16:15:54
 1  0        47372      3178224        26616       637520    0    0     0 300212 7014 4849   1   2  97   0   0 2019-03-21 16:15:57
 1  0        47372      3177720        26616       637508    0    0     0 297813 6091 4825   1   2  96   0   0 2019-03-21 16:16:00
 2  0        47372      3177852        26624       637512    0    0     0 301284 6302 4888   1   2  97   0   0 2019-03-21 16:16:03
 1  0        47372      3178016        26624       637512    0    0     0 296149 5985 4800   1   2  97   0   0 2019-03-21 16:16:06
 2  0        47372      3177768        26632       637512    0    0     0 298423 6396 4821   1   2  96   0   0 2019-03-21 16:16:09
 1  0        47372      3177760        26632       637512    0    0     0 298667 6049 4827   1   2  97   0   0 2019-03-21 16:16:12
 0  0        47372      3177836        26640       637516    0    0     0 297652 7285 4971   2   3  95   0   0 2019-03-21 16:16:15
 0  0        47372      3178232        26640       637520    0    0     0 295559 21082 4850   1   4  93   1   0 2019-03-21 16:16:18
 0  0        47372      3178248        26652       637524    0    0     0 293500 6070 4694   1   2  96   0   0 2019-03-21 16:16:21
 0  0        47372      3178216        26660       637524    0    0     0 292272 6185 4759   1   2  97   0   0 2019-03-21 16:16:24
 0  0        47372      3177760        26660       637524    0    0     0 295040 6040 4812   1   2  97   0   0 2019-03-21 16:16:27
 0  0        47372      3177556        26668       637528    0    0     0 293129 6192 4731   1   2  97   0   0 2019-03-21 16:16:30
 1  0        47372      3177804        26668       637752    0    0     0 293077 9600 4797   1   2  96   1   0 2019-03-21 16:16:33
 3  0        47372      3177960        26676       637532    0    0     0 290152 6133 4707   1   2  97   0   0 2019-03-21 16:16:36
 1  0        47372      3177540        26676       637536    0    0     0 295099 14830 4811   1   3  96   0   0 2019-03-21 16:16:39
 0  0        47372      3177392        26684       637540    0    0     0 293857 8922 4755   1   3  96   0   0 2019-03-21 16:16:42
 2  0        47372      3178144        26684       637540    0    0     0 296192 6362 4898   2   3  94   0   0 2019-03-21 16:16:45
 2  0        47372      3178152        26696       637544    0    0     0 295884 6187 4821   1   2  97   0   0 2019-03-21 16:16:48
 1  0        47372      3178344        26696       637544    0    0     0 290688 5988 4745   1   2  97   0   0 2019-03-21 16:16:51
 1  0        47372      3178500        26704       637544    0    0     0 292745 6504 4708   1   2  97   0   0 2019-03-21 16:16:54
 0  0        47372      3178540        26712       637544    0    0     0 298587 6167 4822   1   2  97   0   0 2019-03-21 16:16:57
 0  0        47372      3178080        26712       637552    0    0     0 288592 23154 4683   2   5  93   0   0 2019-03-21 16:17:00
 0  0        47372      3177896        26720       637556    0    0     0 301513 6453 4915   1   2  96   0   0 2019-03-21 16:17:03
 2  0        47372      3177972        26720       637672    0    0    39 297941 6058 4806   1   2  96   0   0 2019-03-21 16:17:06
 1  0        47372      3177584        26728       637672    0    0     0 296927 6210 4797   1   2  97   0   0 2019-03-21 16:17:09
 1  0        47372      3177592        26728       637676    0    0     0 290261 5892 4682   1   2  97   0   0 2019-03-21 16:17:12
 1  0        47372      3177944        26736       637692    0    0     0 293467 6435 4881   2   3  95   0   0 2019-03-21 16:17:15
 0  0        47372      3177904        26736       637696    0    0     0 293845 5869 4753   1   2  97   0   0 2019-03-21 16:17:18
 1  0        47372      3177692        26748       637696    0    0     0 296183 6271 4806   1   2  97   0   0 2019-03-21 16:17:21
 2  0        47372      3178060        26748       637828    0    0     0 287275 6222 4685   1   2  97   0   0 2019-03-21 16:17:24
