procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  7        27040      1120236       478752     52492068    0    0     4    47    0    0   0   0 100   0   0 2019-03-13 02:26:12
 0  0        27040      1120832       478752     52492140    0    0     0    91 1626 3350   3   1  94   2   0 2019-03-13 02:26:15
 2  0        27040      1120312       478752     52492268    0    0     0    43 1797 4045   1   0  98   0   0 2019-03-13 02:26:18
 0  0        27040      1121976       478752     52492116    0    0     0     0 1609 3931   1   0  99   0   0 2019-03-13 02:26:21
 0  0        27040      1123736       478752     52492116    0    0     0    17 1427 3792   0   0  99   0   0 2019-03-13 02:26:24
 0  0        27040      1127060       478752     52492164    0    0     0     0 1921 4543   0   0  99   0   0 2019-03-13 02:26:27
 0  0        27040      1128852       478752     52492292    0    0     0  1816 1485 3825   0   0  98   1   0 2019-03-13 02:26:30
 0  0        27040      1130036       478752     52492300    0    0     0     0 1465 3807   0   0 100   0   0 2019-03-13 02:26:33
 0  0        27040      1132612       478752     52492308    0    0     0     9 1377 3677   0   0 100   0   0 2019-03-13 02:26:36
 0  0        27040      1134824       478752     52492344    0    0     0     0 1410 3689   0   0  99   0   0 2019-03-13 02:26:39
 0  0        27040      1136000       478752     52492388    0    0     0     4 1385 3692   0   0 100   0   0 2019-03-13 02:26:42
 0  0        27040      1136864       478752     52492328    0    0     0   200 1469 3783   0   0  99   0   0 2019-03-13 02:26:45
 0  0        27040      1136236       478752     52492320    0    0     0    19 1401 3740   0   0  99   0   0 2019-03-13 02:26:48
 0  0        27040      1134944       478752     52492684    0    0     0     0 1501 3788   0   0  99   0   0 2019-03-13 02:26:51
 0  0        27040      1136076       478752     52492328    0    0     0    33 1381 3687   0   0 100   0   0 2019-03-13 02:26:54
 0  0        27040      1137160       478752     52492316    0    0     0     0 1621 4041   0   0  99   0   0 2019-03-13 02:26:57
 0  0        27040      1137464       478752     52492256    0    0     0   383 1708 4259   0   0  99   0   0 2019-03-13 02:27:00
 0  0        27040      1137836       478752     52492264    0    0     0     0 1481 3791   0   0  99   0   0 2019-03-13 02:27:03
 0  0        27040      1138344       478752     52492300    0    0     0    13 1363 3636   0   0 100   0   0 2019-03-13 02:27:06
 0  0        27040      1139436       478752     52492276    0    0     0     0 1388 3667   0   0 100   0   0 2019-03-13 02:27:09
 0  0        27040      1139596       478752     52492268    0    0     0     4 1384 3689   0   0 100   0   0 2019-03-13 02:27:12
 0  0        27040      1139904       478752     52492184    0    0     0   233 1386 3658   0   0  99   0   0 2019-03-13 02:27:15
 0  0        27040      1140548       478752     52492184    0    0     0    19 1379 3671   0   0  99   0   0 2019-03-13 02:27:18
 0  0        27040      1139052       478752     52492188    0    0     0     0 1544 3828   0   0  99   0   0 2019-03-13 02:27:21
 0  0        27040      1139784       478752     52492756    0    0     0    35 1381 3671   0   0  99   0   0 2019-03-13 02:27:24
 0  0        27040      1139228       478752     52492208    0    0     0     0 1399 3719   0   0  99   0   0 2019-03-13 02:27:27
 0  0        27040      1139304       478764     52492232    0    0     0   163 1680 4160   0   0  99   0   0 2019-03-13 02:27:30
 0  0        27040      1138884       478764     52492600    0    0     0     0 1697 4143   0   0 100   0   0 2019-03-13 02:27:33
 0  0        27040      1139576       478764     52492604    0    0     0    35 1403 3719   0   0 100   0   0 2019-03-13 02:27:36
 0  0        27040      1139396       478764     52492068    0    0     0     0 1399 3686   0   0 100   0   0 2019-03-13 02:27:39
 0  0        27040      1138548       478764     52492076    0    0     0     4 1385 3783   0   0  99   0   0 2019-03-13 02:27:42
 0  0        27040      1138128       478764     52492112    0    0     0   459 1433 3659   0   0  99   1   0 2019-03-13 02:27:45
 0  0        27040      1137888       478764     52492120    0    0     0    27 1396 3678   0   0  99   0   0 2019-03-13 02:27:48
 0  0        27040      1136420       478764     52492132    0    0     0     0 1487 3818   0   0  99   0   0 2019-03-13 02:27:51
 0  0        27040      1137540       478764     52492184    0    0     0    33 1367 3684   0   0 100   0   0 2019-03-13 02:27:54
 0  0        27040      1137588       478764     52492196    0    0     0     0 1400 3755   1   0  99   0   0 2019-03-13 02:27:57
 1  0        27040      1137400       478764     52492144    0    0     0   149 1401 3640   0   0  99   0   0 2019-03-13 02:28:00
 0  0        27040      1135372       478764     52492156    0    0     0     0 1842 4446   0   0  99   0   0 2019-03-13 02:28:03
 0  0        27040      1134800       478764     52492156    0    0     0    37 1480 3815   0   0  99   0   0 2019-03-13 02:28:06
 0  0        27040      1136844       478764     52492160    0    0     0     0 1378 3659   0   0 100   0   0 2019-03-13 02:28:09
 0  0        27040      1137748       478764     52492184    0    0     0     7 1438 3800   0   0  99   0   0 2019-03-13 02:28:12
 0  0        27040      1137908       478764     52492300    0    0     0   453 1397 3686   0   0  99   0   0 2019-03-13 02:28:15
 0  0        27040      1139272       478764     52492268    0    0     0    24 1388 3734   0   0  99   0   0 2019-03-13 02:28:18
 0  0        27040      1120668       478764     52492236    0    0     0     0 1570 3871   1   0  99   0   0 2019-03-13 02:28:21
 0  0        27040      1132976       478764     52491884    0    0     0    35 1596 3879   1   0  99   0   0 2019-03-13 02:28:24
 0  0        27040      1134280       478764     52492260    0    0     0     0 1403 3707   0   0  99   0   0 2019-03-13 02:28:27
 0  0        27040      1134812       478764     52492340    0    0     0   169 1397 3683   0   0  99   1   0 2019-03-13 02:28:30
 0  0        27040      1135584       478764     52492336    0    0     0     0 1458 3785   0   0 100   0   0 2019-03-13 02:28:33
 0  0        27040      1135268       478764     52492380    0    0     0    19 1934 4537   0   0  99   0   0 2019-03-13 02:28:36
 0  0        27040      1137872       478764     52492292    0    0     0     0 1367 3633   0   0  99   0   0 2019-03-13 02:28:39
 0  0        27040      1138348       478764     52492296    0    0     0    27 1386 3669   0   0  99   0   0 2019-03-13 02:28:42
 0  0        27040      1139752       478764     52492412    0    0     0   464 1403 3693   0   0  99   0   0 2019-03-13 02:28:45
 0  0        27040      1139880       478764     52492400    0    0     0     0 1455 3821   0   0  99   0   0 2019-03-13 02:28:48
 0  0        27040      1138760       478764     52492396    0    0     0    27 1367 3673   0   0  99   0   0 2019-03-13 02:28:51
 0  0        27040      1138228       478764     52492544    0    0     0     0 1499 3811   0   0  99   0   0 2019-03-13 02:28:54
 0  0        27040      1138732       478764     52493040    0    0     0    16 1389 3720   0   0  99   0   0 2019-03-13 02:28:57
 0  0        27040      1138972       478764     52492272    0    0     0   141 1407 3675   0   0  99   0   0 2019-03-13 02:29:00
 0  0        27040      1138028       478764     52492372    0    0     0    28 1458 3755   0   0 100   0   0 2019-03-13 02:29:03
 0  0        27040      1138092       478764     52492368    0    0     0     0 1408 3750   0   0  99   0   0 2019-03-13 02:29:06
 0  0        27040      1138044       478764     52492404    0    0     0    29 1898 4508   0   0 100   0   0 2019-03-13 02:29:09
 0  0        27040      1137928       478764     52492416    0    0     0     0 1406 3696   0   0 100   0   0 2019-03-13 02:29:12
 0  0        27040      1136832       478764     52492784    0    0     0   447 1381 3650   0   0  99   1   0 2019-03-13 02:29:15
 1  0        27040      1136696       478764     52492568    0    0     0     0 1407 3684   0   0  99   0   0 2019-03-13 02:29:18
 1  0        27040      1136864       478764     52492548    0    0     0    45 1425 3669   0   0  99   0   0 2019-03-13 02:29:21
 0  0        27040      1135636       478764     52492552    0    0     0     0 1571 3904   0   0  99   0   0 2019-03-13 02:29:24
 0  0        27040      1136484       478764     52492632    0    0     0    16 1386 3695   0   0  99   0   0 2019-03-13 02:29:27
 0  0        27040      1136540       478764     52492568    0    0     0   133 1408 3658   0   0  99   0   0 2019-03-13 02:29:30
 0  0        27040      1135920       478764     52492488    0    0     0    29 1468 3756   0   0  99   0   0 2019-03-13 02:29:33
 0  0        27040      1136480       478764     52492464    0    0     0     0 1400 3650   0   0 100   0   0 2019-03-13 02:29:36
 0  0        27040      1138136       478764     52492452    0    0     0     9 1521 3914   0   0 100   0   0 2019-03-13 02:29:39
 0  0        27040      1137928       478764     52492080    0    0     0     0 1804 4364   0   0  99   0   0 2019-03-13 02:29:42
 0  0        27040      1136908       478764     52492848    0    0     0   473 1357 3581   0   0  99   0   0 2019-03-13 02:29:45
 1  0        27040      1137776       478764     52492424    0    0     0     0 1388 3713   0   0  99   0   0 2019-03-13 02:29:48
 0  0        27040      1137256       478764     52492636    0    0     0    43 1370 3672   0   0  99   0   0 2019-03-13 02:29:51
 0  0        27040      1134152       478764     52492108    0    0     0     0 1501 3788   0   0  99   0   0 2019-03-13 02:29:54
 0  0        27040      1134916       478764     52492668    0    0     0    15 1420 3775   0   0 100   0   0 2019-03-13 02:29:57
 1  0        27040      1135600       478764     52492768    0    0     0     0 1443 3772   0   0  99   0   0 2019-03-13 02:30:00
 0  0        27040      1136244       478764     52492716    0    0     0     9 1459 3810   0   0 100   0   0 2019-03-13 02:30:03
 0  0        27040      1136340       478764     52492172    0    0     0     0 1370 3686   0   0  99   0   0 2019-03-13 02:30:06
 0  0        27040      1137656       478764     52492680    0    0     0     5 1398 3670   0   0  99   0   0 2019-03-13 02:30:09
 0  0        27040      1138100       478764     52492708    0    0     0     0 1693 4172   0   0 100   0   0 2019-03-13 02:30:12
 0  0        27040      1137348       478764     52493356    0    0     0   556 1629 3972   0   0  99   1   0 2019-03-13 02:30:15
 0  0        27040      1136384       478764     52493208    0    0     0     0 1386 3666   0   0 100   0   0 2019-03-13 02:30:18
 0  0        27040      1136468       478764     52492916    0    0     0    43 1410 3715   0   0  99   0   0 2019-03-13 02:30:21
 0  0        27040      1134716       478764     52492992    0    0     0     0 1493 3785   0   0 100   0   0 2019-03-13 02:30:24
 0  0        27040      1134800       478764     52493000    0    0     0    16 1520 4042   0   0  99   0   0 2019-03-13 02:30:27
 0  0        27040      1135520       478764     52493012    0    0     0     0 1390 3785   0   0 100   0   0 2019-03-13 02:30:30
 0  0        27040      1136536       478764     52493088    0    0     0     8 1460 3877   0   0 100   0   0 2019-03-13 02:30:33
 0  0        27040      1136204       478764     52493020    0    0     0     0 1494 3793   0   0  99   0   0 2019-03-13 02:30:36
