procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0         1692       991940        25204      2800248    0    0   279   616   13   92   3   1  83  13   0 2019-03-04 20:41:04
 0  0         1692       991476        25220      2800288    0    0    15    64 1247  906   2   2  96   0   0 2019-03-04 20:41:07
 1  0         1692      1887944        25236      1890480    5    0   365  1245 1026  807   1   5  93   1   0 2019-03-04 20:41:10
 0  0         1692      3516120        25240       271848   21    0   528   524 14806 13774   2   7  87   4   0 2019-03-04 20:41:13
 0  1         1692      3505980        25252       273532    0    0  1769 14215 1627 1302   3   3  87   7   0 2019-03-04 20:41:16
 0  1         1692      3505916        25252       273532    0    0     0 94471 3641 3728   0   1  83  15   0 2019-03-04 20:41:19
 0  1         1692      3506156        25260       273536    0    0     0 98177 1313 1410   0   1  83  16   0 2019-03-04 20:41:22
 0  1         1692      3505668        25260       273528    0    0     0 98392 1135 1361   0   1  83  15   0 2019-03-04 20:41:25
 1  0         1692      3505348        25288       274652    0    0  1216 13735 1614 1327   2   2  91   5   0 2019-03-04 20:41:28
 1  0         1692      3691096         2448       119808    0    0  1129   479 11180 10421   2   3  92   3   0 2019-03-04 20:41:31
 4  0         1692      3616652         7064       148860    0    0 11048   108 5790 4370  15   4  73   7   0 2019-03-04 20:41:34
 5  0         1692      3574608         7348       152312    0    0  1180    67 4698 2690  37   4  58   1   0 2019-03-04 20:41:37
 3  0         1692      3542792         8680       154460    0    0  1208     0 5919 3124  54   4  41   1   0 2019-03-04 20:41:40
 4  0         1692      3487524         9984       158636    0    0  1793    37 6757 3058  55   5  38   3   0 2019-03-04 20:41:43
 1  0         1692      3446528        10528       166388    0    0  2765    49 6046 2536  50   5  43   2   0 2019-03-04 20:41:46
 3  0         1692      3414984        11096       169752    0    0  1145     3 5363 2326  48   4  46   2   0 2019-03-04 20:41:49
 2  0         1692      3347876        11344       172328    0    0   827    59 6113 3072  53   4  43   1   0 2019-03-04 20:41:52
 5  0         1692      3319208        11532       181860    0    0  3111     0 5755 2701  46   4  48   2   0 2019-03-04 20:41:55
 3  0         1692      3316456        11544       182492    0    0   147    71 5391 1772  61   3  37   0   0 2019-03-04 20:41:58
 3  0         1692      3277752        11728       184260    0    0   529    99 6352 2720  59   4  37   1   0 2019-03-04 20:42:01
 4  0         1692      3255592        12112       186360    0    0   673    67 5241 2606  44   4  51   1   0 2019-03-04 20:42:04
 2  0         1692      3235016        12452       188868    0    0   837   464 17356 14911  46   4  47   3   0 2019-03-04 20:42:07
 1  0         1692      3476504        14656       201396    0    0  2632  1931 6214 4509  41   5  51   3   0 2019-03-04 20:42:10
 3  0         1692      3481116        14832       233692    0    0   560    93 4611 4781  20   4  75   1   0 2019-03-04 20:42:13
 1  0         1692      3347888        14832       276348    0    0    32     0 5018 7096  13   7  79   0   0 2019-03-04 20:42:16
 1  0         1692      3214148        14844       318780    0    0     0 22245 4227 6865   2   8  90   0   0 2019-03-04 20:42:19
 1  0         1692      3116472        14844       361392    0    0     7   364 13775 16295   4   7  88   0   0 2019-03-04 20:42:22
 1  0         1692      3018016        14852       404248    0    0     0    28 4133 7021   6   3  90   0   0 2019-03-04 20:42:25
 0  0         1692      2868860        14852       447776    0    0     0  2768 11983 14713   1   8  91   0   0 2019-03-04 20:42:28
 0  1         1692      2781740        14860       491312    0    0     0 62163 4600 7066   5   6  81   9   0 2019-03-04 20:42:31
 1  0         1692      2467856        14860       794456    0    0     0 84539 5214 7203   9   7  77   7   0 2019-03-04 20:42:34
 1  0         1692      2858344        14868       582200    0    0     0    12 4238 7049   7   3  90   0   0 2019-03-04 20:42:37
 0  0         1692      2776264        14868       624712    0    0    21     0 4238 7266   5   4  91   0   0 2019-03-04 20:42:40
 0  0         1692      2691664        14876       667148    0    0     0    12 4185 7121   3   3  95   0   0 2019-03-04 20:42:43
 2  0         1692      2610476        14888       709588    0    0     0    37 4674 7547   3   3  94   0   0 2019-03-04 20:42:46
 1  1         1692      2524344        14888       752904    0    0     0 84500 4335 6821   1   3  87   9   0 2019-03-04 20:42:49
 1  1         1692      2176380        14896      1056640    0    0     0 84971 15447 16763   6   6  79   9   0 2019-03-04 20:42:52
 0  0         1692      2455856        14896       844084    0    0    24     7 3968 7219   1   2  97   0   0 2019-03-04 20:42:55
 0  0         1692      2412920        14904       886524    0    0     0    80 5329 8752   0   1  99   0   0 2019-03-04 20:42:58
 0  0         1692      2370628        14904       928960    0    0     0     0 3704 7174   1   1  99   0   0 2019-03-04 20:43:01
 1  0         1692      2330884        14912       971444    0    0     1    17 3972 7437   0   1  99   0   0 2019-03-04 20:43:04
 2  1         1692      2261388        14912      1014608    0    0     0 84500 6208 11178   1   2  87  10   0 2019-03-04 20:43:07
 2  0         1692      1913076        14920      1318324    0    0     0 84725 4900 7013   5   5  82   8   0 2019-03-04 20:43:10
 0  0         1692      2113464        14924      1105732    0    0    13   221 14371 17221   2   2  96   0   0 2019-03-04 20:43:13
 2  0         1692      2065560        14932      1148256    0    0     0    20 4127 7458   1   1  97   0   0 2019-03-04 20:43:16
 0  0         1692      2028804        14932      1190676    0    0    20     0 3761 7215   1   0  99   0   0 2019-03-04 20:43:19
 1  0         1692      1987640        14944      1233188    0    0    19    37 3766 7214   1   1  99   0   0 2019-03-04 20:43:22
 1  1         1692      1945696        14944      1276328    0    0     0 84500 4054 7205   1   2  90   8   0 2019-03-04 20:43:25
 1  1         1692      1638196        14952      1580104    0    0     0 84925 15579 18202   5   9  74  11   0 2019-03-04 20:43:28
 2  0         1692      1745184        14960      1565668    0    0     0 65811 6406 8249  12   9  78   1   0 2019-03-04 20:43:31
 0  0         1692      1903572        14960      1406556    0    0     0 18729 4591 7234  10   3  87   0   0 2019-03-04 20:43:34
 2  0         1692      1862436        14968      1450040    0    0    17     7 4275 7272   8   1  91   0   0 2019-03-04 20:43:37
 0  0         1692      1819052        14968      1493568    0    0     0     0 4177 7202   8   1  91   0   0 2019-03-04 20:43:40
 0  1         1692      1733988        14976      1537104    0    0     0 84512 4733 7268   9   1  80  10   0 2019-03-04 20:43:43
 1  0         1692      1385052        14976      1840704    0    0     0 84928 10681 12234  12   5  74   8   0 2019-03-04 20:43:46
 2  0         1692      1362664        14984      1846128    0    0     0 71584 10826 12136  17   7  75   1   0 2019-03-04 20:43:49
 1  0         1692      1540208        14996      1667376    0    0     0 12972 4665 7441  10   2  87   0   0 2019-03-04 20:43:52
 1  0         1692      1496704        14996      1710896    0    0     0     0 4200 7218   9   1  91   0   0 2019-03-04 20:43:55
 2  0         1692      1453328        15004      1754424    0    0     0    20 4326 7392   8   0  91   0   0 2019-03-04 20:43:58
 2  1         1692      1408904        15004      1797840    0    0     0 84725 6454 8829   9   2  81   9   0 2019-03-04 20:44:01
 1  0         1692      1101776        15012      2101660    0    0    20 84759 14442 17623  12   6  75   7   0 2019-03-04 20:44:04
 1  0         1692      1119604        15012      2130188    0    0     0 79743 5588 7248  18   6  76   0   0 2019-03-04 20:44:07
 2  0         1692      1320360        15020      1928132    0    0     0  4760 4494 7379   9   1  89   0   0 2019-03-04 20:44:10
 1  0         1692      1276252        15020      1971664    0    0     0   181 12239 14931   8   1  89   1   0 2019-03-04 20:44:13
 1  0         1692      1232296        15028      2015192    0    0     0    19 4344 7391   8   1  91   0   0 2019-03-04 20:44:16
 1  1         1692      1188608        15028      2058648    0    0     0 84505 5111 7426   9   3  78  10   0 2019-03-04 20:44:19
 1  0         1692       839168        15040      2362468    0    0     0 84937 15258 19379  11   6  75   7   0 2019-03-04 20:44:22
 1  0         1692       801988        15040      2389900    0    0     0 78720 5551 7244  12  11  76   1   0 2019-03-04 20:44:25
 1  0         1692      1001672        15048      2188836    0    0     0  5933 10928 13526   2   9  88   1   0 2019-03-04 20:44:28
 1  0         1692       958668        15056      2232372    0    0     0    17 4308 7331   2   7  90   0   0 2019-03-04 20:44:31
 0  0         1692       914968        15056      2275792    0    0     0     0 4140 7212   2   7  91   0   0 2019-03-04 20:44:34
