procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0            0      3074748        41492       601272    0    0   252   116  643  452  17   4  78   1   0 2019-03-27 05:51:40
 1  0            0      3094960        41492       601196    0    0     3     0 2298 1892  15   4  81   0   0 2019-03-27 05:51:43
 1  0            0      3072496        41504       601200    0    0     0   420 14154 13167  16   3  81   0   0 2019-03-27 05:51:46
 0  1            0      3061040        41508       601688    0    0    55     0 2071 2421   8   4  81   7   0 2019-03-27 05:51:49
 0  1            0      3060924        41520       601688    0    0     0   165 4229 4929   1   1  82  16   0 2019-03-27 05:51:52
 1  0            0      3084364        41528       602012    0    0  1277    52 2452 2904   5   4  79  12   0 2019-03-27 05:51:55
 0  1            0      3045028        41528       602576    0    0   504 12972 1905 2416   6   3  81  10   0 2019-03-27 05:51:58
 1  1            0      3044996        41540       602588    0    0     0 22512 1588 2477   1   1  82  16   0 2019-03-27 05:52:01
 0  1            0      3044508        41540       602572    0    0     0 22613 1375 2228   1   1  82  16   0 2019-03-27 05:52:04
 0  1            0      3044508        41548       602572    0    0     0 23065 17043 17448   1   2  81  17   0 2019-03-27 05:52:07
 0  1            0      3044532        41548       602576    0    0     0 22443 1290 2187   1   1  82  16   0 2019-03-27 05:52:10
 0  1            0      3044472        41556       602584    0    0     0 22268 3779 4579   1   1  82  16   0 2019-03-27 05:52:13
 0  1            0      3044456        41564       602584    0    0     0 23053 1385 2239   1   1  83  15   0 2019-03-27 05:52:16
 0  1            0      3044340        41564       602588    0    0     0 23125 1319 2175   1   1  82  16   0 2019-03-27 05:52:19
 0  1            0      3043976        41572       602596    0    0     0 22281 1350 2223   1   1  82  16   0 2019-03-27 05:52:22
 0  1            0      3043952        41572       602604    0    0     0 23125 1295 2184   1   1  82  16   0 2019-03-27 05:52:25
 0  1            0      3043976        41580       602612    0    0     0 22363 1315 2198   1   1  82  16   0 2019-03-27 05:52:28
 0  1            0      3043844        41588       602612    0    0     0 22281 1368 2214   1   1  83  15   0 2019-03-27 05:52:31
 0  1            0      3043844        41588       602612    0    0     0 23040 1303 2142   1   1  83  15   0 2019-03-27 05:52:34
 0  1            0      3043836        41596       602616    0    0     0 22449 1368 2207   1   1  83  15   0 2019-03-27 05:52:37
 0  1            0      3061552        41608       602624    0    0   359 11153 1835 2421   4   3  85   9   0 2019-03-27 05:52:40
 2  0            0      3047352        41608       604504    0    0  1059   749 4250 3984  17   7  76   1   0 2019-03-27 05:52:43
 1  1            0      3515564         7020       169796    0    0  4433   477 16670 15884  10   7  77   5   0 2019-03-27 05:52:46
 3  0            0      3447396         7624       181620    0    0  3987   163 6829 5558  32   6  58   4   0 2019-03-27 05:52:49
 5  0            0      3408676         8900       182688    0    0   717     0 5841 3859  47   5  47   1   0 2019-03-27 05:52:52
 5  0            0      3357160        10512       187260    0    0  2051    63 7192 5177  54   6  37   2   0 2019-03-27 05:52:55
 4  0            0      3319828        11856       193264    0    0  2411     0 7195 4238  56   6  35   3   0 2019-03-27 05:52:58
 5  0            0      3248288        11908       197420    0    0  1409    43 5609 3475  48   5  46   1   0 2019-03-27 05:53:01
 4  0            0      3244760        12884       200348    0    0  1272     0 6940 3617  60   6  32   2   0 2019-03-27 05:53:04
 4  0            0      3195356        13072       200828    0    0   229    45 6089 3007  62   5  33   0   0 2019-03-27 05:53:07
 3  0            0      3190172        13092       201180    0    0   109    39 6108 2915  63   5  32   0   0 2019-03-27 05:53:10
 4  0            0      3169624        13300       208332    0    0  2437     5 6268 3751  50   5  44   2   0 2019-03-27 05:53:13
 5  0            0      3159496        13356       211412    0    0   972   128 9463 6593  62   5  32   1   0 2019-03-27 05:53:16
 3  1            0      3159868        13472       212016    0    0   128   445 13719 10337  67   6  26   0   0 2019-03-27 05:53:19
 5  0            0      3133120        13644       214068    0    0   659    77 8833 5563  62   6  32   1   0 2019-03-27 05:53:22
 6  0            0      3088056        14132       215928    0    0   649    49 5508 6267  45   5  49   1   0 2019-03-27 05:53:25
 4  0            0      3074088        14352       225184    0    0  1815    76 6265 5079  52   5  42   1   0 2019-03-27 05:53:28
 2  1            0      3409120        16920       235364    0    0  2073   243 6912 5897  34   7  57   2   0 2019-03-27 05:53:31
 3  0            0      3350832        17344       253248    0    0  1327    28 4913 4756  31   7  61   0   0 2019-03-27 05:53:34
 3  0            0      3288616        17356       268212    0    0     0  5632 5326 6385  32   6  62   0   0 2019-03-27 05:53:37
 4  0            0      3222236        17356       288008    0    0     1   532 12128 12577  48   7  44   1   0 2019-03-27 05:53:40
 2  0            0      3159460        17364       318384    0    0     7    37 6482 9983  28   8  64   0   0 2019-03-27 05:53:43
 2  0            0      3087428        17384       361796    0    0     4  6109 15965 17148  13   9  78   1   0 2019-03-27 05:53:46
 1  0            0      2995760        17384       409372    0    0     0 35501 9430 16733  13   8  76   2   0 2019-03-27 05:53:49
 1  0            0      2898980        17392       460436    0    0     0    11 11037 18471  12   8  80   0   0 2019-03-27 05:53:52
 1  1            0      2798332        17392       511876    0    0     0 28804 10332 18543  12   8  79   1   0 2019-03-27 05:53:55
