procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 1  0            0      2792468        43664       994276    0    0    44   146  612  180  39   3  58   0   0 2018-12-01 00:09:53
 0  0            0      2791296        43668       995308    0    0    39     0 1122  800   2   2  96   0   0 2018-12-01 00:09:56
 0  1            0      2779500        43684       995536    0    0    21   309 6589 6183   2   2  95   1   0 2018-12-01 00:09:59
 2  0            0      2776696        44792       995576    0    0 14860   232 13954 11743   4  15  76   6   0 2018-12-01 00:10:02
 1  0            0      2778500        43800       995640    0    0 10856    29 5615 4048   2  12  77   8   0 2018-12-01 00:10:05
 2  0            0      2778004        43844       995600    0    0 17033    29 6752 4671   4  16  74   6   0 2018-12-01 00:10:08
 1  0            0      2778280        43884       995580    0    0 10485    40 5191 3654   2  12  78   9   0 2018-12-01 00:10:11
 2  0            0      2777656        43932       995636    0    0 16268    31 6439 4325   3  16  76   5   0 2018-12-01 00:10:14
 0  2            0      2775712        45012       995636    0    0 15921   113 9367 7264   5  16  74   6   0 2018-12-01 00:10:17
 0  0            0      2776004        45060       995696    0    0 17127    28 6596 4349   4  16  75   5   0 2018-12-01 00:10:20
 1  0            0      2777256        44064       995752    0    0  9347    27 4929 3486   2  12  78   8   0 2018-12-01 00:10:23
 2  0            0      2777280        44108       995716    0    0 16308    36 6711 4468   3  16  75   5   0 2018-12-01 00:10:26
 0  1            0      2776892        44148       995728    0    0 15948    29 6359 4347   4  16  76   5   0 2018-12-01 00:10:29
 0  1            0      2777200        44188       995772    0    0 16624    29 6850 4612   4  16  75   5   0 2018-12-01 00:10:32
 2  0            0      2776924        44228       995756    0    0 16656    39 7420 5274   3  16  76   5   0 2018-12-01 00:10:35
 2  1            0      2776860        44468       995648    0    0 18119    40 7009 4579   3  16  76   5   0 2018-12-01 00:10:38
 0  0            0      2775932        45348       995760    0    0 16293    39 6874 4782   4  16  75   5   0 2018-12-01 00:10:41
 1  0            0      2776008        45376       995824    0    0 18177    28 6976 4640   4  16  74   5   0 2018-12-01 00:10:44
 2  1            0      2776776        44468       995820    0    0 15956    28 7368 5144   3  16  76   5   0 2018-12-01 00:10:47
 2  1            0      2777024        44424       995856    0    0  8979    29 4181 2829   2  10  79   9   0 2018-12-01 00:10:50
 1  0            0      2776424        44464       995812    0    0 16272    28 6567 4311   4  16  75   5   0 2018-12-01 00:10:53
 0  1            0      2775712        45540       995844    0    0 16269    41 6842 4612   4  16  75   6   0 2018-12-01 00:10:56
 3  1            0      2774736        45568       995840    0    0 15875    27 7185 4983   3  16  76   5   0 2018-12-01 00:10:59
 0  1            0      2776240        44600       995800    0    0 14579   121 8227 6071   3  15  77   5   0 2018-12-01 00:11:02
 1  0            0      2776936        44632       995716    0    0 16993    28 7347 5127   4  16  75   6   0 2018-12-01 00:11:05
 1  0            0      2776032        45704       995776    0    0 15865    29 6733 4538   4  16  75   5   0 2018-12-01 00:11:08
 0  1            0      2775844        44716       995736    0    0 17004    29 6851 4638   4  17  75   5   0 2018-12-01 00:11:11
 2  0            0      2776744        44760       995696    0    0 17316    52 7204 4984   3  16  75   5   0 2018-12-01 00:11:14
 2  0            0      2776808        44800       995680    0    0 17108    29 8931 6842   3  16  76   5   0 2018-12-01 00:11:17
 2  0            0      2777148        44848       995672    0    0 15649    43 6668 4591   3  15  77   5   0 2018-12-01 00:11:20
 3  0            0      2776608        44936       995688    0    0 15943    35 6312 4348   3  15  76   5   0 2018-12-01 00:11:23
 2  0            0      2776000        45008       995700    0    0 16307    31 6576 4490   3  16  75   5   0 2018-12-01 00:11:26
 4  1            0      2776812        44972       995716    0    0 15225    37 6583 4503   3  15  76   5   0 2018-12-01 00:11:29
 2  0            0      2774848        46060       995712    0    0 18168    29 6761 4609   4  16  75   5   0 2018-12-01 00:11:32
 0  1            0      2776308        45052       995796    0    0 16719    29 6812 4634   3  16  76   5   0 2018-12-01 00:11:35
 2  0            0      2774992        45088       995732    0    0 16351    28 6581 4459   4  16  76   5   0 2018-12-01 00:11:38
 2  0            0      2776196        45124       995792    0    0 17373    28 6864 4546   3  16  75   5   0 2018-12-01 00:11:41
 2  0            0      2776280        45168       995864    0    0 16227    43 7850 5727   3  16  76   5   0 2018-12-01 00:11:44
 1  0            0      2776384        45208       995808    0    0 15997    29 6307 4326   4  16  76   5   0 2018-12-01 00:11:47
