Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
----------------------------------------------------------------------
24            R    3870543              60.728%           58.584%
16            R    1035453              16.246%           15.672%
8             R    697943               10.951%           10.564%
256           R    352923                5.537%            5.342%
1024          W    167912               71.970%            2.541%
32            R    84580                 1.327%            1.280%
40            R    62976                 0.988%            0.953%
56            R    39658                 0.622%            0.600%
8             W    34166                14.644%            0.517%
72            R    26009                 0.408%            0.394%
1016          W    25074                10.747%            0.380%
88            R    19106                 0.300%            0.289%
48            R    17511                 0.275%            0.265%
64            R    17050                 0.268%            0.258%
104           R    14525                 0.228%            0.220%
120           R    11610                 0.182%            0.176%
80            R    10473                 0.164%            0.159%
136           R    9395                  0.147%            0.142%
96            R    9115                  0.143%            0.138%
128           R    8766                  0.138%            0.133%
112           R    7966                  0.125%            0.121%
152           R    7799                  0.122%            0.118%
168           R    6610                  0.104%            0.100%
144           R    6024                  0.095%            0.091%
184           R    5574                  0.087%            0.084%
160           R    5416                  0.085%            0.082%
200           R    5137                  0.081%            0.078%
216           R    5135                  0.081%            0.078%
192           R    4942                  0.078%            0.075%
176           R    4912                  0.077%            0.074%
240           R    4873                  0.076%            0.074%
208           R    4358                  0.068%            0.066%
224           R    4153                  0.065%            0.063%
232           R    4146                  0.065%            0.063%
248           R    3468                  0.054%            0.052%
512           R    2864                  0.045%            0.043%
32            W    379                   0.162%            0.006%
264           W    371                   0.159%            0.006%
408           W    306                   0.131%            0.005%
416           W    264                   0.113%            0.004%
64            W    250                   0.107%            0.004%
264           R    226                   0.004%            0.003%
16            W    219                   0.094%            0.003%
280           R    196                   0.003%            0.003%
21            W    170                   0.073%            0.003%
24            W    158                   0.068%            0.002%
3             W    154                   0.066%            0.002%
296           R    152                   0.002%            0.002%
272           R    140                   0.002%            0.002%
312           R    136                   0.002%            0.002%
20            W    136                   0.058%            0.002%
22            W    135                   0.058%            0.002%
400           W    134                   0.057%            0.002%
288           R    128                   0.002%            0.002%
23            W    126                   0.054%            0.002%
328           R    110                   0.002%            0.002%
12            W    106                   0.045%            0.002%
272           W    102                   0.044%            0.002%
344           R    100                   0.002%            0.002%
424           W    98                    0.042%            0.001%
304           R    98                    0.002%            0.001%
1             W    89                    0.038%            0.001%
11            W    88                    0.038%            0.001%
360           R    84                    0.001%            0.001%
336           R    84                    0.001%            0.001%
19            W    83                    0.036%            0.001%
408           R    82                    0.001%            0.001%
384           R    81                    0.001%            0.001%
320           R    81                    0.001%            0.001%
96            W    79                    0.034%            0.001%
352           R    77                    0.001%            0.001%
25            W    75                    0.032%            0.001%
392           R    74                    0.001%            0.001%
368           R    74                    0.001%            0.001%
392           W    71                    0.030%            0.001%
376           R    71                    0.001%            0.001%
18            W    71                    0.030%            0.001%
424           R    65                    0.001%            0.001%
440           R    61                    0.001%            0.001%
14            W    61                    0.026%            0.001%
712           W    60                    0.026%            0.001%
472           R    58                    0.001%            0.001%
112           W    57                    0.024%            0.001%
40            W    55                    0.024%            0.001%
400           R    54                    0.001%            0.001%
280           W    54                    0.023%            0.001%
904           W    52                    0.022%            0.001%
456           R    52                    0.001%            0.001%
120           W    52                    0.022%            0.001%
136           W    51                    0.022%            0.001%
896           W    50                    0.021%            0.001%
48            W    49                    0.021%            0.001%
888           W    47                    0.020%            0.001%
952           W    46                    0.020%            0.001%
728           W    45                    0.019%            0.001%
17            W    45                    0.019%            0.001%
416           R    44                    0.001%            0.001%
31            W    41                    0.018%            0.001%
288           W    41                    0.018%            0.001%
2             W    41                    0.018%            0.001%
744           W    40                    0.017%            0.001%
56            W    40                    0.017%            0.001%
464           R    40                    0.001%            0.001%
448           R    40                    0.001%            0.001%
30            W    39                    0.017%            0.001%
920           W    38                    0.016%            0.001%
432           R    37                    0.001%            0.001%
26            W    37                    0.016%            0.001%
27            W    36                    0.015%            0.001%
720           W    35                    0.015%            0.001%
488           R    34                    0.001%            0.001%
528           W    33                    0.014%            0.000%
29            W    32                    0.014%            0.000%
28            W    31                    0.013%            0.000%
13            W    31                    0.013%            0.000%
10            W    31                    0.013%            0.000%
480           R    30                    0.000%            0.000%
296           W    29                    0.012%            0.000%
752           W    25                    0.011%            0.000%
72            W    25                    0.011%            0.000%
88            W    24                    0.010%            0.000%
912           W    23                    0.010%            0.000%
496           R    23                    0.000%            0.000%
736           W    20                    0.009%            0.000%
536           W    20                    0.009%            0.000%
504           R    20                    0.000%            0.000%
304           W    20                    0.009%            0.000%
160           W    20                    0.009%            0.000%
320           W    19                    0.008%            0.000%
34            W    18                    0.008%            0.000%
312           W    18                    0.008%            0.000%
9             W    17                    0.007%            0.000%
80            W    17                    0.007%            0.000%
768           W    17                    0.007%            0.000%
336           W    17                    0.007%            0.000%
33            W    17                    0.007%            0.000%
15            W    17                    0.007%            0.000%
328           W    16                    0.007%            0.000%
792           W    15                    0.006%            0.000%
43            W    15                    0.006%            0.000%
216           W    15                    0.006%            0.000%
936           W    14                    0.006%            0.000%
928           W    14                    0.006%            0.000%
560           W    14                    0.006%            0.000%
46            W    14                    0.006%            0.000%
432           W    14                    0.006%            0.000%
35            W    14                    0.006%            0.000%
816           W    13                    0.006%            0.000%
552           W    13                    0.006%            0.000%
448           W    13                    0.006%            0.000%
384           W    13                    0.006%            0.000%
352           W    13                    0.006%            0.000%
880           W    12                    0.005%            0.000%
7             W    12                    0.005%            0.000%
