procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0       985352       859492       312648     59441660    0    0   411   452    0    1   1   1  97   2   0 2018-10-01 09:09:21
 1  0       985352     12105212       312660     48193792    0    0     6    84 1649 2827   2   3  96   0   0 2018-10-01 09:09:24
 1  0       985352     31300200       312660     29000436    0    0     0    52 1725 2941   0   4  96   0   0 2018-10-01 09:09:27
 1  0       985352     52882496       312668      7420244    0    0     0    93 1673 2900   0   4  96   0   0 2018-10-01 09:09:30
 1  0       985352     59166792       312668       998528    0    0   807   165 2893 11488   5   2  93   1   0 2018-10-01 09:09:33
 2  0       985352     58897084       312680      1003544    0    0  1860    72 20677 13741  13   1  85   2   0 2018-10-01 09:09:36
 4  0       985352     58790512       312680      1009576    0    0  1928 10848 19990 12375  13   1  85   1   0 2018-10-01 09:09:39
18  0       985352     58714472       312688      1012308    0    0   508   267 35542 15838  19   1  80   1   0 2018-10-01 09:09:42
19  1       985352     58183432       312688      1385860    0    0  1135 34775 4447 50854  12   3  85   0   0 2018-10-01 09:09:45
 0  1       985352     57360316       312696      1806040    0    0     0 64030 3156 64700   4   2  90   3   0 2018-10-01 09:09:48
 0  1       985352     57445512       312696      1756732    0    0     0 76919 2807 54475   2   1  92   4   0 2018-10-01 09:09:51
 0  1       985352     57349832       312704      1805304    0    0     7 66626 2995 33258   1   1  94   4   0 2018-10-01 09:09:54
 0  1       985352     57259820       312704      1852068    0    0     0 32736 2425 16952   1   0  95   4   0 2018-10-01 09:09:57
 0  1       985352     56844852       312708      2267648    0    0     5 81985 1691 4196   0   0  96   4   0 2018-10-01 09:10:00
12  1       985352     57152428       312716      2107712    0    0     0 88578 2406 56437   3   2  92   4   0 2018-10-01 09:10:03
 0  1       985352     56778960       312716      2400224    0    0     0 93487 3000 32164   1   1  94   4   0 2018-10-01 09:10:06
 0  1       985352     56675800       312728      2365260    0    0    20 69835 96698 43479   2   2  93   4   0 2018-10-01 09:10:09
 0  1       985352     56305116       312728      2708652    0    0     0 118748 3171 29164   1   1  95   4   0 2018-10-01 09:10:12
 1  0       985352     56307952       312736      2658324    0    0     0 40754 63658 42343   3   2  92   4   0 2018-10-01 09:10:15
 0  1       985352     55929756       312736      3009824    0    0     0 97516 11316 16113   1   1  94   3   0 2018-10-01 09:10:18
 0  1       985352     55945460       312744      2936580    0    0     0 96319 10603 39860   2   2  92   4   0 2018-10-01 09:10:21
 0  1       985352     55865512       312744      2989372    0    0     0 31456 3768 15743   1   0  95   4   0 2018-10-01 09:10:24
 0  1       985352     55502664       312752      3335184    0    0     0 65209 10003 16036   1   1  95   3   0 2018-10-01 09:10:27
 0  1       985352     55502440       312760      3337548    0    0     0 63217 1675 2497   0   0  96   4   0 2018-10-01 09:10:30
 0  1       985352     55604984       312760      3269092    0    0     0 96527 3264 47967   3   2  92   3   0 2018-10-01 09:10:33
 0  1       985352     55230660       312768      3619048    0    0     0 71005 2882 29605   1   1  95   4   0 2018-10-01 09:10:36
 0  1       985352     55487988       312768      3432416    0    0     0 57754 3527 23225   1   1  94   4   0 2018-10-01 09:10:39
 0  1       985352     54954844       312776      3870936    0    0     0 101980 3121 43487   2   1  94   3   0 2018-10-01 09:10:42
 1  1       985352     54873180       312776      3920216    0    0     0 57768 3852 14868   1   1  94   4   0 2018-10-01 09:10:45
 1  1       985352     54956380       312784      3860292    0    0     0 62965 15256 45233   2   2  92   4   0 2018-10-01 09:10:48
 0  1       985352     54582820       312784      4206292    0    0     0 103417 3071 17104   1   1  95   3   0 2018-10-01 09:10:51
 2  0       985352     54710256       312792      4062232    0    0     0 25162 1992 13653   1   0  95   4   0 2018-10-01 09:10:54
 0  1       985352     54658812       312792      4165916    0    0     0 95658 3065 46619   3   2  92   4   0 2018-10-01 09:10:57
 0  1       985352     54282620       312796      4513096    0    0     0 71029 2585 17248   1   1  95   4   0 2018-10-01 09:11:00
 1  0       985352     54274760       312796      4520528    0    0     0 25287 1590 8255   0   0  96   4   0 2018-10-01 09:11:03
 0  1       985352     54248664       313064      4462436    0    0   583 62906 7618 43477   3   1  92   4   0 2018-10-01 09:11:06
 0  1       985352     53884032       313064      4809708    0    0     0 129024 4575 16565   1   1  95   3   0 2018-10-01 09:11:09
 0  1       985352     54050908       313068      4750508    0    0     0 62905 5645 56779   2   2  93   3   0 2018-10-01 09:11:12
 0  1       985352     53663760       313068      5097472    0    0     0 77054 22899 19055   1   1  94   4   0 2018-10-01 09:11:15
 0  1       985352     53639576       313072      5113728    0    0     0 43720 13251 4958   0   0  95   4   0 2018-10-01 09:11:18
 0  1       985352     53728856       313072      5034692    0    0     0 104088 35114 36367   2   2  93   3   0 2018-10-01 09:11:21
 0  1       985352     53368224       313072      5379076    0    0     0 81940 10227 15850   1   1  95   3   0 2018-10-01 09:11:24
 7  1       985352     53825912       313072      5188736    0    0     0 45158 2609 25835   1   1  94   4   0 2018-10-01 09:11:27
 0  1       985352     53268688       313072      5646632    0    0     0 96930 5918 35352   2   2  92   4   0 2018-10-01 09:11:30
 1  1       985352     53264176       313072      5596424    0    0     0 94702 17970 35908   3   2  92   4   0 2018-10-01 09:11:33
 0  1       985352     53180220       313076      5651236    0    0     0 63301 2998 23485   1   1  95   4   0 2018-10-01 09:11:36
 0  1       985352     52797244       313080      5992340    0    0     0 95414 3964 15678   1   1  95   3   0 2018-10-01 09:11:39
 1  0       985352     52889784       313080      5933252    0    0     0 95105 4916 51117   3   1  92   3   0 2018-10-01 09:11:42
 2  0       985352     52854584       313080      6086368    0    0     0 96132 6327 22568   1   1  94   3   0 2018-10-01 09:11:45
 0  1       985352     52627784       313080      6232772    0    0     0 95504 2800 41994   3   1  93   3   0 2018-10-01 09:11:48
 0  1       985352     52252428       313084      6578496    0    0     0 71004 4126 17426   1   1  94   3   0 2018-10-01 09:11:51
 0  1       985352     52367104       313084      6493128    0    0     0 87999 4626 33901   3   1  92   4   0 2018-10-01 09:11:54
 0  1       985352     52015664       313088      6839584    0    0     0 92305 3735 20392   1   1  95   3   0 2018-10-01 09:11:57
 0  1       985352     51963108       313088      6878924    0    0     0 35780 3084 11808   1   0  95   4   0 2018-10-01 09:12:00
 1  0       985352     51992456       313092      6830296    0    0     0 95258 4413 46150   3   2  92   3   0 2018-10-01 09:12:03
 0  0       985352     51664244       313092      7161032    0    0     0 95857 4324 19154   1   1  95   3   0 2018-10-01 09:12:06
 0  1       985352     51414436       313100      7413892    0    0     1 122899 4650 52238   3   2  91   3   0 2018-10-01 09:12:09
 0  1       985352     51329136       313100      7462792    0    0     0 60075 2595 15059   1   1  95   4   0 2018-10-01 09:12:12
 0  1       985352     51318432       313108      7471072    0    0     0  9113 1484 3772   0   0  95   5   0 2018-10-01 09:12:15
 0  1       985352     51425544       313108      7390340    0    0     0 62875 2543 46901   2   1  93   3   0 2018-10-01 09:12:18
 0  1       985352     51079304       313116      7735204    0    0     0 87065 3251 30271   1   1  95   3   0 2018-10-01 09:12:21
 2  0       985352     51241948       313116      7681756    0    0     0 104187 11984 41316   3   2  92   3   0 2018-10-01 09:12:24
 0  1       985352     50868832       313120      8029204    0    0     0 70668 4835 15291   1   1  95   3   0 2018-10-01 09:12:27
 0  1       985352     50814808       313120      8061324    0    0     0 54634 4160 8384   0   0  95   4   0 2018-10-01 09:12:30
12  1       985352     50948172       313120      7922816    0    0     0 30376 1967 23030   2   1  94   4   0 2018-10-01 09:12:33
 0  1       985352     50817632       313128      8009624    0    0     0 35638 2610 24615   2   1  94   4   0 2018-10-01 09:12:36
 0  1       985352     50437680       313128      8354204    0    0     0 114296 3938 15817   1   1  95   3   0 2018-10-01 09:12:39
 0  0       985352     50622872       313132      8279728    0    0     0 45965 2959 39806   3   1  92   3   0 2018-10-01 09:12:42
 0  1       985352     50530348       313132      8330816    0    0     0 63827 2658 14815   1   0  95   4   0 2018-10-01 09:12:45
 0  1       985352     50188600       313136      8650628    0    0     0 81938 2696 9229   1   1  95   4   0 2018-10-01 09:12:48
 0  1       985352     50189048       313136      8650668    0    0     0 13904 1334 2307   0   0  96   4   0 2018-10-01 09:12:51
 0  1       985352     50143428       313144      8590340    0    0     0 95187 3384 46752   3   2  91   4   0 2018-10-01 09:12:54
 0  1       985352     49761632       313144      8934952    0    0     0 95793 3734 14856   1   1  95   3   0 2018-10-01 09:12:57
 0  1       985352     49707888       313148      8878084    0    0     0 94961 4576 44338   3   2  92   3   0 2018-10-01 09:13:00
 2  1       985352     49337520       313148      9222112    0    0     0 95547 3612 17087   1   1  95   3   0 2018-10-01 09:13:03
 0  1       985352     49635268       313152      9178356    0    0     0 95260 3656 46061   3   2  92   3   0 2018-10-01 09:13:06
 0  1       985352     49243280       313152      9524400    0    0     0 87382 4493 17527   1   1  95   3   0 2018-10-01 09:13:09
 0  1       985352     49066796       313156      9752448    0    0     0 136155 4572 46152   3   2  92   3   0 2018-10-01 09:13:12
 1  0       985352     48944472       313156      9891260    0    0     0 126070 4899 48093   4   2  91   4   0 2018-10-01 09:13:15
 0  1       985352     48878384       313164      9938060    0    0     0 126795 3577 56436   2   1  93   4   0 2018-10-01 09:13:18
