procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0       899872     17790808        46512     43719416    0    0   450   303    1    0   0   0  99   1   0 2018-09-25 15:26:51
 2  1       899872     24407644          736     37142440    0    0   283  4375 1903 2810   2   2  94   2   0 2018-09-25 15:26:54
 1  0       899872     50617320          860     10933268    0    0   373     0 1844 3181   0   4  95   0   0 2018-09-25 15:26:57
 0  3       899872     61240344         3020       328424    0    0  2695    42 1755 2731   0   2  95   2   0 2018-09-25 15:27:00
 1  1       899872     61176372         5860       356108    0    0 10003     1 2837 4296   2   1  93   4   0 2018-09-25 15:27:03
 0  1       899872     60933000         8576       370260    0    0  5556    61 3778 16612   9   1  88   2   0 2018-09-25 15:27:06
 1  0       899872     60773328        10952       381296    0    0  4679     7 9541 8498   6   1  91   3   0 2018-09-25 15:27:09
 3  0       899872     60610948        11980       395692    0    0  5173    40 17373 8988  13   1  84   2   0 2018-09-25 15:27:12
 0  2       899872     60581940        12680       402296    0    0  1899   119 7315 16601  15   0  83   2   0 2018-09-25 15:27:15
 1  0       899872     61080440        15364       424620    0    0  3677  1984 11502 10283   9   1  88   3   0 2018-09-25 15:27:18
 2 28       899872     59372252        15372      1361796    0    0 310821    84 24589 34070   5   2  49  43   0 2018-09-25 15:27:21
 0 30       899872     58417544        15372      2298872    0    0 299733     8 47691 53406   7   3  36  54   0 2018-09-25 15:27:24
 3 28       899872     57228356        15392      3237116    0    0 302383    35 45851 53660   6   3  27  64   0 2018-09-25 15:27:27
 0 30       899872     55888604        15400      4074460    0    0 272497   508 39518 48694   6   3  23  69   0 2018-09-25 15:27:30
 3 27       899872     55457408        15408      4493896    0    0 135488    35 28173 25426   3   1  31  65   0 2018-09-25 15:27:33
 2 28       899872     54508916        15412      5432780    0    0 306209  3233 108592 54493   7   4  23  67   0 2018-09-25 15:27:36
 2 28       899872     53573684        15420      6363516    0    0 306233    44 182196 54927   7   4  11  77   0 2018-09-25 15:27:39
 3 27       899872     52647048        15428      7295456    0    0 304769    13 51903 54993   6   4  20  70   0 2018-09-25 15:27:42
 2 28       899868     51725776        15432      8216244    5    0 302869     0 52468 54713   7   4  37  52   0 2018-09-25 15:27:45
 3 27       899868     50805224        15440      9134480    0    0 303157     9 54753 55252   6   4  41  49   0 2018-09-25 15:27:48
 4 26       899868     49887760        15440     10050184    0    0 302529     9 70064 55231   7   4  37  52   0 2018-09-25 15:27:51
 1 29       899868     48974964        15448     10964816    0    0 302517    15 152935 55949   8   5  36  51   0 2018-09-25 15:27:54
 1 30       899868     48068776        16440     11872052    0    0 300589     0 81120 55486   7   4  46  43   0 2018-09-25 15:27:57
 0 30       899868     47255320        17056     12684572    0    0 269761   627 59804 50266   7   3  49  41   0 2018-09-25 15:28:00
 0 30       899868     46548720        17064     13391704    0    0 235020    37 46542 44288   6   3  48  44   0 2018-09-25 15:28:03
 0 30       899868     45642160        17064     14298960    0    0 301081     0 72587 55981   7   4  47  42   0 2018-09-25 15:28:06
 4 26       899868     44743812        17076     15195888    0    0 298040   123 52996 55779   8   3  46  43   0 2018-09-25 15:28:09
 2 28       899868     43853724        17076     16088068    0    0 296893     0 56833 55913   8   3  41  48   0 2018-09-25 15:28:12
 4 26       899868     42794564        17084     16986940    0    0 299133    20 70561 56391   8   4  37  50   0 2018-09-25 15:28:15
 2 28       899868     41899272        17084     17881136    0    0 298055     0 58884 56433   8   5  41  47   0 2018-09-25 15:28:18
 1 29       899868     41007168        17092     18774976    0    0 297341     8 51787 56517   8   4  36  51   0 2018-09-25 15:28:21
 5 25       899868     40112452        17092     19668352    0    0 297040     0 54118 56908   8   4  48  40   0 2018-09-25 15:28:24
 3 27       899868     39219208        17100     20562860    0    0 297792    11 54240 57632   8   4  49  39   0 2018-09-25 15:28:27
 3 27       899868     38325236        17100     21455452    0    0 297384   473 53910 57181   8   4  48  40   0 2018-09-25 15:28:30
 6 24       899868     37445624        17108     22336152    0    0 293301    63 53780 56715   8   3  50  38   0 2018-09-25 15:28:33
 3 27       899868     36557848        17108     23221944    0    0 296076     0 53219 57348   8   4  47  41   0 2018-09-25 15:28:36
 2 28       899868     35671092        17116     24108740    0    0 295153     8 50807 57783   8   4  36  51   0 2018-09-25 15:28:39
 5 25       899868     34778256        17124     25000080    0    0 296747    12 48449 58094   8   4  28  61   0 2018-09-25 15:28:42
 5 25       899868     33891492        17124     25888288    0    0 295743     0 48135 58234   9   4  26  62   0 2018-09-25 15:28:45
 5 25       899868     33010392        17132     26764640    0    0 292480     8 55016 58088   9   4  44  43   0 2018-09-25 15:28:48
 5 25       899868     32130060        17132     27645204    0    0 293048     0 55495 58179   9   4  47  40   0 2018-09-25 15:28:51
 1 29       899868     31254828        17140     28519744    0    0 291308     9 54112 58252  10   4  48  38   0 2018-09-25 15:28:54
 3 27       899868     30382140        17140     29391556    0    0 290993     0 53648 58618  10   4  46  40   0 2018-09-25 15:28:57
 0 30       899868     29344132        17148     30207348    0    0 272139   522 49524 55139   9   4  34  54   0 2018-09-25 15:29:00
 4 27       899868     28855228        17156     30694904    0    0 162541    40 34952 34410   5   2  36  57   0 2018-09-25 15:29:03
 3 28       899868     27978568        17156     31571904    0    0 292076     0 72399 59275  10   5  36  49   0 2018-09-25 15:29:06
 8 22       899868     27099496        17168     32449952    0    0 292591    12 67316 59399  10   5  41  44   0 2018-09-25 15:29:09
10 11       899868     26237204        17168     33320188    0    0 290064     0 72931 59312  11   5  48  37   0 2018-09-25 15:29:12
 4 26       899868     25374500        17176     34181644    0    0 287292     8 54943 59107  10   4  50  36   0 2018-09-25 15:29:15
 2 28       899868     24502348        17176     35054616    0    0 290943     0 55189 59925  10   5  48  37   0 2018-09-25 15:29:18
 5 25       899868     23460000        17184     35914920    0    0 287069     7 52559 59834  11   5  41  43   0 2018-09-25 15:29:21
 3 27       899868     22510296        17184     36785152    0    0 290404     0 52105 60645  10   5  30  54   0 2018-09-25 15:29:24
 2 29       899868     21638552        17192     37654832    0    0 290212     9 53250 60816  11   5  33  51   0 2018-09-25 15:29:27
 2 29       899868     20816004        17192     38476608    0    0 273576   530 50431 57798  10   4  31  54   0 2018-09-25 15:29:30
 4 26       899868     20007872        17200     39286472    0    0 269851    61 51520 57542  11   4  39  46   0 2018-09-25 15:29:33
 1 29       899868     19151844        17200     40141100    0    0 284981     0 49817 60878  11   4  30  55   0 2018-09-25 15:29:36
 3 27       899868     18295940        17208     40998568    0    0 285392    11 49008 61752  11   4  25  60   0 2018-09-25 15:29:39
 4 28       899868     17443292        17216     41849688    0    0 283555    19 55123 60959  12   4  44  41   0 2018-09-25 15:29:42
 2 28       899868     16582688        17216     42710032    0    0 286409     0 53646 61771  12   5  41  43   0 2018-09-25 15:29:45
 1  0       899868     18156588        17224     43377676    0    0 225641     8 45176 50401  10   4  57  29   0 2018-09-25 15:29:48
 1  0       899868     18142244        19540     43385392    0    0  2972   271 2902 3918   3   1  94   1   0 2018-09-25 15:29:51
 2  0       899868     18149128        19952     43392948    0    0  2623   185 2835 3966   4   2  93   1   0 2018-09-25 15:29:54
 1  0       899868     37203388          788     24343500    0    0  2312   197 2048 3168   1   3  93   2   0 2018-09-25 15:29:57
 1  0       899868     60537776          924      1011208    0    0   375   375 1817 3124   0   4  96   0   0 2018-09-25 15:30:00
 0  1       899868     61211788         5056       335380    0    0  6147    61 2367 2958   1   1  93   5   0 2018-09-25 15:30:03
 7  0       899868     61042728         6460       365208    0    0 10319    56 3136 10629   5   1  92   2   0 2018-09-25 15:30:06
 4  1       899868     60904560        10404       371124    0    0  3347     0 8636 11822   8   0  88   4   0 2018-09-25 15:30:09
 2  1       899868     60708868        11788       380080    0    0  3673   185 12324 7653  10   0  87   2   0 2018-09-25 15:30:12
 7  1       899868     60649244        12656       395488    0    0  5217   145 11328 13660  12   0  85   2   0 2018-09-25 15:30:15
 1  1       899868     60591664        13312       401144    0    0  1760   252 25169 12944  13   1  84   2   0 2018-09-25 15:30:18
 2 15       899868     60181204        15828       868632    0    0 151874  1957 11185 11410   6   1  79  14   0 2018-09-25 15:30:21
 2 28       899868     58961020        15992      1766052    0    0 291707    77 42702 51561   7   3  35  55   0 2018-09-25 15:30:24
 3 27       899864     57762060        16000      2712464    0    0 304307     9 41905 53886   6   3  19  71   0 2018-09-25 15:30:27
 1 29       899864     56833584        16012      3641132    0    0 300077     9 39232 53547   6   3  20  71   0 2018-09-25 15:30:30
 2 28       899864     56313204        16020      4161344    0    0 168629   257 31432 30987   3   2  24  71   0 2018-09-25 15:30:33
 2 29       899864     55378840        16024      5098604    0    0 305179  3219 43199 54490   6   3  20  71   0 2018-09-25 15:30:36
 2 28       899864     54444140        16312      6028876    0    0 304920    27 145293 54950   7   5  16  72   0 2018-09-25 15:30:39
 2 28       899864     53520860        16312      6959984    0    0 305291     0 68203 55361   7   3  19  71   0 2018-09-25 15:30:42
 2 28       899864     52603920        16320      7882892    0    0 303924    16 44454 55263   7   3  25  65   0 2018-09-25 15:30:45
 4 26       899864     51693824        16320      8800416    0    0 301833     0 49950 55144   7   3  38  52   0 2018-09-25 15:30:48
 1 29       899864     50782124        16328      9714488    0    0 301911    17 53333 55984   7   3  35  55   0 2018-09-25 15:30:51
 3 28       899864     49883844        16328     10613636    0    0 297220     0 53797 54854   8   3  49  40   0 2018-09-25 15:30:54
 7 23       899864     48977672        16336     11516556    0    0 299015    15 141253 55123   8   5  48  39   0 2018-09-25 15:30:57
 0 31       899864     47853612        17460     12408620    0    0 296325    21 84487 55026   7   4  48  41   0 2018-09-25 15:31:00
 2 28       899864     47483508        17944     12777604    0    0 122464   576 32261 24011   3   1  52  44   0 2018-09-25 15:31:03
 2 28       899864     46486516        17952     13628824    0    0 282584    33 59443 52478   7   3  49  41   0 2018-09-25 15:31:06
 2 28       899864     45587912        17952     14526440    0    0 298323     0 64071 55568   8   4  49  39   0 2018-09-25 15:31:09
 0 30       899864     44593936        17960     15418628    0    0 296569    15 55302 55822   8   4  48  41   0 2018-09-25 15:31:12
 2 28       899864     43691760        17960     16317512    0    0 298611     0 53362 56050   8   4  48  41   0 2018-09-25 15:31:15
 2 28       899864     42789300        17972     17219664    0    0 300165     8 53769 56484   8   3  49  40   0 2018-09-25 15:31:18
 5 24       899864     41902408        17972     18105216    0    0 295387     0 52676 56277   8   3  49  40   0 2018-09-25 15:31:21
 2 29       899864     41006604        17980     19001212    0    0 297720    11 53760 56697   8   4  49  39   0 2018-09-25 15:31:24
 4 26       899864     39920808        17980     19891140    0    0 296348     0 53545 57194   8   4  48  40   0 2018-09-25 15:31:27
 1 29       899864     38831788        17988     20777096    0    0 295261    15 53307 56884   8   4  47  41   0 2018-09-25 15:31:30
 6 24       899864     37930428        17988     21670812    0    0 297849   548 54972 57286   8   4  38  50   0 2018-09-25 15:31:33
 3 27       899864     37038756        17996     22561816    0    0 296949    60 52205 57403   9   4  37  51   0 2018-09-25 15:31:36
 5 25       899864     36148184        17996     23452044    0    0 297061     0 48880 57661   8   3  30  59   0 2018-09-25 15:31:39
 2 28       899864     35253996        18004     24344252    0    0 297016    13 49546 57969   8   4  28  60   0 2018-09-25 15:31:42
 2 28       899864     34366776        18012     25232136    0    0 295637     9 50455 57978   9   4  32  55   0 2018-09-25 15:31:45
 3 28       899864     33480376        18012     26117060    0    0 295140     0 49684 58184   9   4  31  56   0 2018-09-25 15:31:48
 2 28       899864     32598204        18020     27000764    0    0 293747     7 52397 58113   9   4  40  47   0 2018-09-25 15:31:51
 2 28       899864     31717080        18020     27880856    0    0 293245     0 54356 58243   9   4  47  40   0 2018-09-25 15:31:54
 4 27       899864     30838132        18028     28757368    0    0 292628     8 53364 58525   9   4  47  40   0 2018-09-25 15:31:57
 2 28       899864     29962064        18028     29633476    0    0 292233     0 48521 58822  10   3  28  59   0 2018-09-25 15:32:00
 2 28       899864     29317452        18036     30278580    0    0 214625    47 43281 44573   7   3  43  47   0 2018-09-25 15:32:03
 2 28       899864     28452736        18044     31144728    0    0 288841   103 50526 58812  10   4  35  51   0 2018-09-25 15:32:06
 4 26       899864     27581920        18044     32014780    0    0 290183     0 49430 59252  10   4  29  58   0 2018-09-25 15:32:09
 3 28       899864     26656132        18052     32892404    0    0 292689    92 53057 59794  10   4  32  54   0 2018-09-25 15:32:12
 3 27       899864     25789716        18052     33763788    0    0 290495     0 50040 59848  10   4  31  55   0 2018-09-25 15:32:15
 4 27       899864     24919892        18060     34634564    0    0 289405    15 47276 59959  10   4  25  61   0 2018-09-25 15:32:18
 2 28       899864     24045420        18068     35505092    0    0 291128     7 61969 60329  10   5  31  53   0 2018-09-25 15:32:21
 4 27       899864     23171424        18068     36378960    0    0 290768     0 58482 60578  10   4  29  56   0 2018-09-25 15:32:24
 2 28       899864     22303160        18076     37250368    0    0 289932     9 48600 60793  10   4  24  62   0 2018-09-25 15:32:27
 4 27       899864     21430620        18076     38116108    0    0 289596     0 55494 61066  11   4  24  61   0 2018-09-25 15:32:30
 2 28       899864     20881256        18084     38667376    0    0 183189   391 39348 39769   6   3  41  50   0 2018-09-25 15:32:33
 4 26       899864     20021840        18084     39525956    0    0 286531    83 49595 61162  11   4  29  55   0 2018-09-25 15:32:36
 5 25       899864     19165504        18092     40382992    0    0 285217    20 70612 61698  12   5  35  48   0 2018-09-25 15:32:39
 2 28       899864     18305836        18100     41240484    0    0 286200    43 58562 61334  11   5  33  52   0 2018-09-25 15:32:42
 3 27       899864     17270888        18100     42099924    0    0 286784     0 54910 61838  11   4  32  52   0 2018-09-25 15:32:45
 5 25       899864     16409668        18108     42959860    0    0 286377    57 70279 62140  12   5  25  58   0 2018-09-25 15:32:48
 1  0       899864     18158912        20028     43375740    0    0 141595     4 46109 32603   7   3  64  26   0 2018-09-25 15:32:51
 2  0       899864     18150240        20608     43380852    0    0  1405    83 2874 4278   4   2  94   0   0 2018-09-25 15:32:54
 3  0       899864     19845208          792     41696896    0    0  3359   680 2460 3736   3   2  93   2   0 2018-09-25 15:32:57
 2  0       899864     44011924          928     17532332    0    0  1253     0 1826 2974   0   4  94   1   0 2018-09-25 15:33:00
 1  1       899864     61233872         1856       324336    0    0   921    40 1891 3103   0   4  95   1   0 2018-09-25 15:33:03
 1  1       899864     61202828         5356       337480    0    0  5745     0 2371 3087   2   1  92   6   0 2018-09-25 15:33:06
 1  1       899864     61126676         6632       365192    0    0  9723   509 2420 6141   2   1  93   5   0 2018-09-25 15:33:09
 1  0       899860     60935380        10480       371876    0    0  3564    27 3617 15418   8   1  89   2   0 2018-09-25 15:33:12
 5  0       899860     60757916        12104       380700    0    0  3593     7 17791 7703   5   0  90   4   0 2018-09-25 15:33:15
 1  1       899860     60670020        13096       393876    0    0  4681   144 9215 9217  11   1  87   2   0 2018-09-25 15:33:18
 3  0       899860     60599392        13372       401904    0    0  2296    69 31775 16123  15   1  83   1   0 2018-09-25 15:33:21
 1 15       899860     60742416        16008       584056    0    0 57534  2189 13176 11297   7   1  88   5   0 2018-09-25 15:33:24
 4 27       899860     59204856        16020      1529164    0    0 310693    76 32345 40681   6   3  44  47   0 2018-09-25 15:33:27
