Linux 4.4.132-0404132-generic (pl2) 	2018-09-25 	_x86_64_	(24 CPU)

01:06:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:06:23 PM  all    2.53    0.00    1.77    2.35    0.00    0.01    0.00    0.00    0.00   93.34
01:06:23 PM    0    1.33    0.00   18.67   13.00    0.00    0.00    0.00    0.00    0.00   67.00
01:06:23 PM    1    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:06:23 PM    2    0.33    0.00    0.67    0.33    0.00    0.00    0.00    0.00    0.00   98.67
01:06:23 PM    3   11.04    0.00    4.01    0.33    0.00    0.00    0.00    0.00    0.00   84.62
01:06:23 PM    4    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
01:06:23 PM    5    8.03    0.00    5.35    7.02    0.00    0.00    0.00    0.00    0.00   79.60
01:06:23 PM    6    2.69    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   96.63
01:06:23 PM    7    1.68    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.32
01:06:23 PM    8    2.68    0.00    3.01    0.33    0.00    0.00    0.00    0.00    0.00   93.98
01:06:23 PM    9   16.33    0.00    1.67   20.67    0.00    0.00    0.00    0.00    0.00   61.33
01:06:23 PM   10    0.33    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.67
01:06:23 PM   11    0.33    0.00    0.67   13.33    0.00    0.00    0.00    0.00    0.00   85.67
01:06:23 PM   12    0.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   99.34
01:06:23 PM   13    2.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   96.67
01:06:23 PM   14    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
01:06:23 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
