procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 PDT
 1  0       868476     17639752        50796     43529616    0    0   502   298    1    1   0   0  98   1   0 2018-09-25 20:38:25
 1  1       868476     26049036          572     35164004    0    0  2009   844 1971 2711   3   2  94   1   0 2018-09-25 20:38:28
 1  0       868476     49300044          696     11914560    0    0   236     0 1746 2933   0   4  95   0   0 2018-09-25 20:38:31
 0  3       868476     60869864         2336       358124    0    0  1739    16 1746 2821   0   3  95   2   0 2018-09-25 20:38:34
 1  1       868476     60811484         6232       381736    0    0  8789    68 2548 3644   2   1  93   4   0 2018-09-25 20:38:37
 0  1       868476     60623964         7920       395720    0    0  5372     0 3208 15370   7   0  90   2   0 2018-09-25 20:38:40
21  0       868476     60444796        11748       406860    0    0  4948   344 8651 9063   6   0  90   3   0 2018-09-25 20:38:43
 0  1       868476     60288060        12892       420544    0    0  4801   268 13170 9284  11   1  87   2   0 2018-09-25 20:38:46
 1  0       868476     60255488        13108       427816    0    0  2356   507 25984 17925  15   1  81   3   0 2018-09-25 20:38:49
 0  1       868476     60174740        16136       441076    0    0  3895   835 9395 8088   9   1  88   3   0 2018-09-25 20:38:52
 1  4       868476     59496876        16144      1038720    0    0 197019  2005 14687 17025   3   1  77  19   0 2018-09-25 20:38:55
 1  4       868476     58880812        16172      1517880    0    0 154959   115 34425 29016   3   2  79  17   0 2018-09-25 20:38:58
 1  4       868476     58398312        16192      1993196    0    0 151913    15 44565 27874   3   2  79  16   0 2018-09-25 20:39:01
 0  5       868476     57918748        16192      2468744    0    0 153132  3024 36678 28542   3   1  78  18   0 2018-09-25 20:39:04
 2  3       868476     57409468        16200      2947852    0    0 154299    29 35529 28385   3   1  79  17   0 2018-09-25 20:39:07
 2  3       868476     56932800        16200      3425900    0    0 154061   115 35652 28531   3   2  79  17   0 2018-09-25 20:39:10
 1  5       868476     56324596        16208      3896292    0    0 152556    13 36129 28128   3   1  79  17   0 2018-09-25 20:39:13
 2  4       868476     55854028        16208      4367088    0    0 153173     0 35306 28450   3   1  79  17   0 2018-09-25 20:39:16
 1  4       868476     55391720        16216      4829344    0    0 150829     8 35285 28180   3   1  79  17   0 2018-09-25 20:39:19
 1  5       868476     54930308        16224      5293796    0    0 151235    77 35290 28273   3   2  79  17   0 2018-09-25 20:39:22
 1  4       868476     54466660        16224      5757440    0    0 151359     9 35438 28395   3   1  79  17   0 2018-09-25 20:39:25
 0  5       868476     54009908        16232      6214392    0    0 149728    37 35083 28317   3   1  79  16   0 2018-09-25 20:39:28
 1  4       868476     53542608        16232      6665912    0    0 147964     0 34763 28134   3   1  79  16   0 2018-09-25 20:39:31
 1  4       868476     53083452        16240      7124228    0    0 150824   517 35714 28808   3   1  79  17   0 2018-09-25 20:39:34
 0  6       868476     52628824        16244      7580552    0    0 149813    45 35299 28347   3   1  79  17   0 2018-09-25 20:39:37
 1  4       868476     52172444        16248      8034084    0    0 149592     1 34956 28623   4   1  79  16   0 2018-09-25 20:39:40
 1  4       868476     51718764        16256      8486448    0    0 149243     9 35038 28171   3   1  79  17   0 2018-09-25 20:39:43
 1  4       868476     51276108        16256      8929600    0    0 146053     0 34478 27675   3   1  79  16   0 2018-09-25 20:39:46
 1  4       868476     50822316        16264      9382784    0    0 149913     9 35480 28440   3   2  79  16   0 2018-09-25 20:39:49
 2  3       868476     50379708        16264      9825596    0    0 146175    21 34995 28060   3   2  79  16   0 2018-09-25 20:39:52
 1  4       868476     49927384        16276     10275244    0    0 148857   479 35757 28434   3   1  79  17   0 2018-09-25 20:39:55
 1  4       868476     49479720        16276     10724180    0    0 148528     0 35621 28453   3   1  79  16   0 2018-09-25 20:39:58
 4  2       868476     49031960        16284     11170200    0    0 147753    15 35390 28494   4   1  79  16   0 2018-09-25 20:40:01
 0  5       868476     48584480        16292     11617480    0    0 148223     8 35675 28719   3   1  79  16   0 2018-09-25 20:40:04
 1  4       868476     48144476        16292     12056400    0    0 145495     0 35365 28289   4   1  79  16   0 2018-09-25 20:40:07
 1  4       868476     47701368        16300     12499624    0    0 147084    15 35550 28905   3   1  79  16   0 2018-09-25 20:40:10
 0  5       868476     47256596        16300     12943216    0    0 146992     0 35906 28707   4   1  79  16   0 2018-09-25 20:40:13
 1  5       868476     46817824        16308     13382068    0    0 145701     8 35247 28178   3   1  79  16   0 2018-09-25 20:40:16
 1  4       868476     46386724        16308     13813968    0    0 143400     0 34908 28033   4   2  79  16   0 2018-09-25 20:40:19
 1  4       868476     45955696        16316     14243524    0    0 143269    12 34867 27927   4   1  79  16   0 2018-09-25 20:40:22
 2  4       868476     45530812        16324     14668460    0    0 141067    68 34912 27774   3   2  79  16   0 2018-09-25 20:40:25
 1  4       868476     45102504        16324     15096880    0    0 142348   580 34987 27957   4   1  78  16   0 2018-09-25 20:40:28
 1  4       868476     44677860        16332     15521180    0    0 141187    23 34695 27813   4   2  79  16   0 2018-09-25 20:40:31
 0  5       868476     44249140        16332     15950460    0    0 142575     0 34902 27984   4   1  79  16   0 2018-09-25 20:40:34
 2  3       868476     43818416        16340     16380644    0    0 143133     8 35392 28137   3   2  79  16   0 2018-09-25 20:40:37
 2  2       868476     43397072        16620     16801956    0    0 140139     0 34590 28141   4   1  79  16   0 2018-09-25 20:40:40
 2  3       868476     42970704        16628     17227484    0    0 141815    12 35362 28075   3   1  79  16   0 2018-09-25 20:40:43
 0  5       868476     42551112        16636     17648920    0    0 139992    13 34538 28120   3   1  79  16   0 2018-09-25 20:40:46
 1  4       868476     42129300        16636     18069608    0    0 140052     0 35028 27904   4   2  79  16   0 2018-09-25 20:40:49
 1  4       868476     41711720        16644     18487532    0    0 139256    10 34591 28021   4   1  79  16   0 2018-09-25 20:40:52
 2  4       868476     41235068        16644     18914016    0    0 141787     0 35438 28229   3   1  79  16   0 2018-09-25 20:40:55
 1  4       868476     40813472        16656     19335328    0    0 140235   611 35362 28010   4   1  79  16   0 2018-09-25 20:40:58
 0  5       868476     40387896        16656     19760636    0    0 141619     0 35254 28207   3   1  79  16   0 2018-09-25 20:41:01
 2  3       868476     39971548        16664     20176348    0    0 138493    44 34954 27917   4   2  79  16   0 2018-09-25 20:41:04
 2  3       868476     39546212        16672     20601964    0    0 141415     9 35541 28379   3   1  79  16   0 2018-09-25 20:41:07
 4  1       868476     39125636        16672     21022212    0    0 140053     0 35221 28131   4   1  79  16   0 2018-09-25 20:41:10
 2  3       868476     38710528        16680     21436492    0    0 138271     9 34868 28001   4   1  79  16   0 2018-09-25 20:41:13
 0  5       868476     38299056        16680     21848292    0    0 137105     0 34638 28032   4   1  79  16   0 2018-09-25 20:41:16
 1  4       868476     37888564        16688     22258472    0    0 136752     8 34990 27960   4   2  79  16   0 2018-09-25 20:41:19
 0  5       868476     37478580        16692     22669052    0    0 136460     1 34584 28106   3   1  79  16   0 2018-09-25 20:41:22
 0  5       868476     37063640        16700     23083992    0    0 138345    15 35469 28257   4   2  79  16   0 2018-09-25 20:41:25
 0  4       868476     36656808        16708     23491376    0    0 136044    81 34774 27817   4   1  79  16   0 2018-09-25 20:41:28
 0  5       868476     36244976        16708     23903028    0    0 137019     0 34877 27908   4   2  79  16   0 2018-09-25 20:41:31
 0  5       868476     35832632        16716     24311036    0    0 136371    99 35118 27990   4   1  79  16   0 2018-09-25 20:41:34
 3  3       868476     35423284        16716     24718244    0    0 135707     0 35016 27926   4   2  79  16   0 2018-09-25 20:41:37
 1  5       868476     35018216        16724     25124356    0    0 135193    31 35055 28018   4   1  79  16   0 2018-09-25 20:41:40
 1  4       868476     34608948        16732     25534200    0    0 136349   508 35444 28029   4   1  79  16   0 2018-09-25 20:41:43
 2  3       868476     34204756        16732     25938112    0    0 134680     0 34742 28045   4   1  79  16   0 2018-09-25 20:41:46
 0  5       868476     33801320        16740     26342168    0    0 134549    39 34929 27831   4   2  79  16   0 2018-09-25 20:41:49
 0  5       868476     33396316        16740     26746572    0    0 134860     0 35046 27974   4   2  79  16   0 2018-09-25 20:41:52
 3  2       868476     32998600        16748     27144512    0    0 132539     9 35063 28291   4   2  79  16   0 2018-09-25 20:41:55
 1  4       868476     32597764        16748     27544472    0    0 133341     0 34866 27762   4   1  79  16   0 2018-09-25 20:41:58
 2  3       868476     32192632        16756     27948308    0    0 134767    44 35166 28092   4   1  79  16   0 2018-09-25 20:42:01
 0  5       868476     31795404        16764     28345904    0    0 132324     7 34437 27870   4   1  79  16   0 2018-09-25 20:42:04
 1  4       868476     31391304        16764     28747816    0    0 134435     0 34978 28258   4   2  79  16   0 2018-09-25 20:42:07
 2  3       868476     30995292        16772     29145392    0    0 132283     9 34120 27949   4   1  79  16   0 2018-09-25 20:42:10
 1  4       868476     30602340        16772     29541616    0    0 131981    39 35159 28148   4   2  79  16   0 2018-09-25 20:42:13
 2  3       868476     30204736        16780     29938652    0    0 132328    17 34999 27976   4   2  79  16   0 2018-09-25 20:42:16
 2  3       868476     29777624        16780     30335412    0    0 132239    16 35129 27923   4   2  79  16   0 2018-09-25 20:42:19
 1  4       868476     29399120        16788     30714148    0    0 126023    15 34028 27193   5   2  79  15   0 2018-09-25 20:42:22
 1  4       868476     29004480        16796     31107172    0    0 131103    32 35445 27870   4   2  79  16   0 2018-09-25 20:42:25
